iso3,gwcode,country_name,capital_name,capital_name_normalized,valid_from,valid_until,capital_longitude,capital_latitude,iso3_source,source_rows_merged,cshapes_status,cshapes_version,reference_source,source_url,methodological_note,source_file_sha256
AFG,700,Afghanistan,Kabul,kabul,1993-01-01,2020-12-31,69.1833,34.5167,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
AGO,540,Angola,Luanda,luanda,1993-01-01,2020-12-31,13.2344,-8.83833,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
ALB,339,Albania,Tirane,tirane,1993-01-01,2020-12-31,19.8189,41.3275,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
ARE,696,United Arab Emirates,Abu Dhabi,abu dhabi,1993-01-01,2020-12-31,54.3667,24.4667,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
ARG,160,Argentina,Buenos Aires,buenos aires,1993-01-01,2020-12-31,-58.6725,-34.5875,country_converter,3,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
ARM,371,Armenia,Yerevan,yerevan,1993-01-01,2020-12-31,44.5136,40.1811,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
AUS,900,Australia,Canberra,canberra,1993-01-01,2020-12-31,149.217,-35.2833,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
AUT,305,Austria,Vienna,vienna,1993-01-01,2020-12-31,16.3667,48.2,country_converter,2,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
AZE,373,Azerbaijan,Baku,baku,1993-01-01,2020-12-31,49.8822,40.3953,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BDI,516,Burundi,Bujumbura,bujumbura,1993-01-01,2020-12-31,29.36,-3.37611,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BEL,211,Belgium,Brussels,brussels,1993-01-01,2020-12-31,4.33333,50.8333,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BEN,434,Benin,Porto-Novo,porto novo,1993-01-01,2020-12-31,2.61667,6.48333,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BFA,439,Burkina Faso (Upper Volta),Ouagadougou,ouagadougou,1993-01-01,2020-12-31,-1.52472,12.3703,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BGD,771,Bangladesh,Dhaka,dhaka,1993-01-01,2020-12-31,90.4086,23.723,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BGR,355,Bulgaria,Sofia,sofia,1993-01-01,2020-12-31,23.3167,42.6833,country_converter,5,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BHR,692,Bahrain,Manama,manama,1993-01-01,2020-12-31,50.5831,26.2361,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BHS,31,Bahamas,Nassau,nassau,1993-01-01,2020-12-31,-77.343,25.0774,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BIH,346,Bosnia-Herzegovina,Sarajevo,sarajevo,1993-01-01,2020-12-31,18.3833,43.85,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BLR,370,Belarus (Byelorussia),Minsk,minsk,1993-01-01,2020-12-31,27.5667,53.9,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BLZ,80,Belize,Belmopan,belmopan,1993-01-01,2020-12-31,-88.7667,17.25,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BOL,145,Bolivia,La Paz,la paz,1993-01-01,2020-12-31,-68.15,-16.5,country_converter,4,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BRA,140,Brazil,Brasilia,brasilia,1993-01-01,2020-12-31,-47.9,-15.8,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BRB,53,Barbados,Bridgetown,bridgetown,1993-01-01,2020-12-31,-59.6167,13.1,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BRN,835,Brunei,Bandar Seri Begawan,bandar seri begawan,1993-01-01,2020-12-31,114.933,4.88333,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BTN,760,Bhutan,Thimphu,thimphu,1993-01-01,2020-12-31,89.6,27.4833,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
BWA,571,Botswana,Gaborone,gaborone,1993-01-01,2020-12-31,25.9119,-24.6464,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
CAF,482,Central African Republic,Bangui,bangui,1993-01-01,2020-12-31,18.5829,4.36808,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
CAN,20,Canada,Ottawa,ottawa,1993-01-01,2020-12-31,-75.69,45.4208,country_converter,2,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
CHE,225,Switzerland,Bern,bern,1993-01-01,2020-12-31,7.46667,46.9167,country_converter,1,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
CHL,155,Chile,Santiago,santiago,1993-01-01,2020-12-31,-70.6667,-33.45,country_converter,3,independent,2.1,cshapes_2_1,https://icr.ethz.ch/data/cshapes/CShapes-2.1.csv,Independent-state capital period from CShapes 2.1.,2c206c6ad079d3fdabaf0fce2eeb1ea71c3c794ecfa8e9abc12f8f4542b78f38
