ISO3,income_group,region
AFG,Low income,South Asia
ALB,Upper middle income,Europe & Central Asia
DZA,Upper middle income,Middle East & North Africa
ASM,High income,East Asia & Pacific
AND,High income,Europe & Central Asia
AGO,Lower middle income,Sub-Saharan Africa
ATG,High income,Latin America & Caribbean
ARG,Upper middle income,Latin America & Caribbean
ARM,Upper middle income,Europe & Central Asia
ABW,High income,Latin America & Caribbean
AUS,High income,East Asia & Pacific
AUT,High income,Europe & Central Asia
AZE,Upper middle income,Europe & Central Asia
BHS,High income,Latin America & Caribbean
BHR,High income,Middle East & North Africa
BGD,Lower middle income,South Asia
BRB,High income,Latin America & Caribbean
BLR,Upper middle income,Europe & Central Asia
BEL,High income,Europe & Central Asia
BLZ,Upper middle income,Latin America & Caribbean
BEN,Lower middle income,Sub-Saharan Africa
BMU,High income,North America
BTN,Lower middle income,South Asia
BOL,Lower middle income,Latin America & Caribbean
BIH,Upper middle income,Europe & Central Asia
BWA,Upper middle income,Sub-Saharan Africa
BRA,Upper middle income,Latin America & Caribbean
VGB,High income,Latin America & Caribbean
BRN,High income,East Asia & Pacific
BGR,High income,Europe & Central Asia
BFA,Low income,Sub-Saharan Africa
BDI,Low income,Sub-Saharan Africa
CPV,Lower middle income,Sub-Saharan Africa
KHM,Lower middle income,East Asia & Pacific
CMR,Lower middle income,Sub-Saharan Africa
CAN,High income,North America
CYM,High income,Latin America & Caribbean
CAF,Low income,Sub-Saharan Africa
TCD,Low income,Sub-Saharan Africa
CHI,High income,Europe & Central Asia
CHL,High income,Latin America & Caribbean
CHN,Upper middle income,East Asia & Pacific
COL,Upper middle income,Latin America & Caribbean
COM,Lower middle income,Sub-Saharan Africa
COD,Low income,Sub-Saharan Africa
COG,Lower middle income,Sub-Saharan Africa
CRI,Upper middle income,Latin America & Caribbean
CIV,Lower middle income,Sub-Saharan Africa
HRV,High income,Europe & Central Asia
CUB,Upper middle income,Latin America & Caribbean
CUW,High income,Latin America & Caribbean
CYP,High income,Europe & Central Asia
CZE,High income,Europe & Central Asia
DNK,High income,Europe & Central Asia
DJI,Lower middle income,Middle East & North Africa
DMA,Upper middle income,Latin America & Caribbean
DOM,Upper middle income,Latin America & Caribbean
ECU,Upper middle income,Latin America & Caribbean
EGY,Lower middle income,Middle East & North Africa
SLV,Upper middle income,Latin America & Caribbean
GNQ,Upper middle income,Sub-Saharan Africa
ERI,Low income,Sub-Saharan Africa
EST,High income,Europe & Central Asia
SWZ,Lower middle income,Sub-Saharan Africa
ETH,Low income,Sub-Saharan Africa
FRO,High income,Europe & Central Asia
FJI,Upper middle income,East Asia & Pacific
FIN,High income,Europe & Central Asia
FRA,High income,Europe & Central Asia
PYF,High income,East Asia & Pacific
GAB,Upper middle income,Sub-Saharan Africa
GMB,Low income,Sub-Saharan Africa
GEO,Upper middle income,Europe & Central Asia
DEU,High income,Europe & Central Asia
GHA,Lower middle income,Sub-Saharan Africa
GIB,High income,Europe & Central Asia
GRC,High income,Europe & Central Asia
GRL,High income,Europe & Central Asia
GRD,Upper middle income,Latin America & Caribbean
GUM,High income,East Asia & Pacific
GTM,Upper middle income,Latin America & Caribbean
GIN,Lower middle income,Sub-Saharan Africa
GNB,Low income,Sub-Saharan Africa
GUY,High income,Latin America & Caribbean
HTI,Lower middle income,Latin America & Caribbean
HND,Lower middle income,Latin America & Caribbean
HKG,High income,East Asia & Pacific
HUN,High income,Europe & Central Asia
ISL,High income,Europe & Central Asia
IND,Lower middle income,South Asia
IDN,Upper middle income,East Asia & Pacific
IRN,Upper middle income,Middle East & North Africa
IRQ,Upper middle income,Middle East & North Africa
IRL,High income,Europe & Central Asia
IMN,High income,Europe & Central Asia
ISR,High income,Middle East & North Africa
ITA,High income,Europe & Central Asia
JAM,Upper middle income,Latin America & Caribbean
JPN,High income,East Asia & Pacific
JOR,Lower middle income,Middle East & North Africa
KAZ,Upper middle income,Europe & Central Asia
KEN,Lower middle income,Sub-Saharan Africa
KIR,Lower middle income,East Asia & Pacific
PRK,Low income,East Asia & Pacific
