country,time_period,net_fdi_imf
Denmark,1975-Q1,-48.64141573317285
Denmark,1975-Q2,-49.3366955467852
Denmark,1975-Q3,-45.65746754018829
Denmark,1975-Q4,-44.49473754331284
Denmark,1976-Q1,62.30478918244157
Denmark,1976-Q2,63.03212499940184
Denmark,1976-Q3,63.1824888081187
Denmark,1976-Q4,65.31723083267856
Denmark,1977-Q1,21.90152801730077
Denmark,1977-Q2,21.30126310188016
Denmark,1977-Q3,21.14129986310039
Denmark,1977-Q4,21.12478476723537
Denmark,1978-Q1,-13.19973248774474
Denmark,1978-Q2,-17.69702690261273
Denmark,1978-Q3,-6.168397245901656
Denmark,1978-Q4,-19.17937833609547
Denmark,1979-Q1,-10.47357362414228
Denmark,1979-Q2,-20.32255057710871
Denmark,1979-Q3,36.28724217652545
Denmark,1979-Q4,-62.02136712905765
Denmark,1980-Q1,6.683284564626149
Denmark,1980-Q2,21.63184491651027
Denmark,1980-Q3,58.78962537093092
Denmark,1980-Q4,4.426611883368983
Denmark,1981-Q1,23.33223454149309
Denmark,1981-Q2,30.07119180246321
Denmark,1981-Q3,72.2973622035368
Denmark,1981-Q4,-86.36294547200637
Denmark,1982-Q1,10.81002243601368
Denmark,1982-Q2,20.71610307253646
Denmark,1982-Q3,6.704143083624712
Denmark,1982-Q4,-90.35939169717894
Denmark,1983-Q1,0.0
Denmark,1983-Q2,0.0
Denmark,1983-Q3,0.0
Denmark,1983-Q4,89.98956493919655
Denmark,1984-Q1,0.0
Denmark,1984-Q2,0.0
Denmark,1984-Q3,288.8640147489018
Denmark,1984-Q4,15.35684212485861
Denmark,1985-Q1,28.85738497373554
Denmark,1985-Q2,81.77018306532894
Denmark,1985-Q3,24.28449774801758
Denmark,1985-Q4,60.42081066366816
Denmark,1986-Q1,90.53999814751921
Denmark,1986-Q2,138.8281284547024
Denmark,1986-Q3,2.03924700804228
Denmark,1986-Q4,259.7802603962705
Denmark,1987-Q1,71.8002829804072
Denmark,1987-Q2,214.2195517611484
Denmark,1987-Q3,84.82764500269971
Denmark,1987-Q4,163.1112869358814
Denmark,1988-Q1,-52.96692682774844
Denmark,1988-Q2,202.2885165508786
Denmark,1988-Q3,22.71378296653222
Denmark,1988-Q4,45.11322104504996
Denmark,1989-Q1,-10.15850043834625
Denmark,1989-Q2,36.13593488446244
Denmark,1989-Q3,-0.4011410233553218
Denmark,1989-Q4,950.6582680739984
Denmark,1990-Q1,342.2426532626315
Denmark,1990-Q2,199.3184092046023
Denmark,1990-Q3,-238.7254821366917
Denmark,1990-Q4,47.2520281890776
Denmark,1991-Q1,-94.77624638420964
Denmark,1991-Q2,148.968046779875
Denmark,1991-Q3,164.0284355503703
Denmark,1991-Q4,81.25230980412861
Denmark,1992-Q1,204.4466618191082
Denmark,1992-Q2,151.0624081250835
