iso_3,year,stat_corp_tax_rate
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,
ABW,1987,
ABW,1988,
ABW,1989,
ABW,1990,
ABW,1991,
ABW,1992,
ABW,1993,
ABW,1994,
ABW,1995,
ABW,1996,
ABW,1997,
ABW,1998,
ABW,1999,
ABW,2000,49.451
ABW,2001,49.45
ABW,2002,49.45
ABW,2003,35.0
ABW,2004,35.0
ABW,2005,35.0
ABW,2006,35.0
ABW,2007,28.0
ABW,2008,28.0
ABW,2009,28.0
ABW,2010,28.0
ABW,2011,28.0
ABW,2012,28.0
ABW,2013,28.0
ABW,2014,28.0
ABW,2015,28.0
ABW,2016,25.0
ABW,2017,25.0
ABW,2018,25.0
ABW,2019,25.0
ABW,2020,25.0
ABW,2021,25.0
ABW,2022,25.0
ABW,2023,22.0
ABW,2024,22.0
ABW,2025,22.0
AFG,1980,
AFG,1981,
AFG,1982,
AFG,1983,
AFG,1984,
AFG,1985,
AFG,1986,
AFG,1987,
AFG,1988,
AFG,1989,
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,
AFG,2001,
AFG,2002,
AFG,2003,0.0
AFG,2004,0.0
AFG,2005,20.0
AFG,2006,20.0
AFG,2007,20.0
AFG,2008,20.0
AFG,2009,20.0
AFG,2010,20.0
AFG,2011,20.0
AFG,2012,20.0
AFG,2013,20.0
AFG,2014,20.0
AFG,2015,20.0
AFG,2016,20.0
AFG,2017,20.0
AFG,2018,20.0
AFG,2019,20.0
AFG,2020,20.0
AFG,2021,20.0
AFG,2022,20.0
AFG,2023,20.0
AFG,2024,20.0
AFG,2025,20.0
AGO,1980,
AGO,1981,
AGO,1982,
AGO,1983,
AGO,1984,
AGO,1985,
AGO,1986,
AGO,1987,
AGO,1988,
AGO,1989,
AGO,1990,
AGO,1991,
AGO,1992,
AGO,1993,
AGO,1994,
AGO,1995,40.0
AGO,1996,40.0
AGO,1997,40.0
AGO,1998,40.0
AGO,1999,40.0
AGO,2000,40.0
AGO,2001,35.0
AGO,2002,35.0
AGO,2003,35.0
AGO,2004,35.0
AGO,2005,35.0
AGO,2006,35.0
AGO,2007,35.0
AGO,2008,35.0
AGO,2009,35.0
AGO,2010,35.0
AGO,2011,35.0
AGO,2012,35.0
AGO,2013,35.0
AGO,2014,35.0
AGO,2015,30.0
AGO,2016,30.0
AGO,2017,30.0
AGO,2018,30.0
AGO,2019,30.0
AGO,2020,30.0
AGO,2021,25.0
AGO,2022,25.0
AGO,2023,25.0
AGO,2024,25.0
AGO,2025,25.0
AIA,1980,
AIA,1981,
AIA,1982,
AIA,1983,
AIA,1984,
AIA,1985,
AIA,1986,
AIA,1987,
AIA,1988,
AIA,1989,
AIA,1990,
AIA,1991,
AIA,1992,
AIA,1993,
AIA,1994,
AIA,1995,
AIA,1996,
AIA,1997,
AIA,1998,
AIA,1999,
AIA,2000,0.0
AIA,2001,0.0
AIA,2002,0.0
AIA,2003,0.0
AIA,2004,0.0
AIA,2005,0.0
AIA,2006,0.0
AIA,2007,0.0
AIA,2008,0.0
AIA,2009,0.0
AIA,2010,0.0
AIA,2011,0.0
AIA,2012,0.0
AIA,2013,0.0
AIA,2014,0.0
AIA,2015,0.0
AIA,2016,0.0
AIA,2017,0.0
AIA,2018,0.0
AIA,2019,0.0
AIA,2020,0.0
AIA,2021,0.0
AIA,2022,0.0
AIA,2023,0.0
AIA,2024,0.0
AIA,2025,0.0
ALA,1980,
ALA,1981,
ALA,1982,
ALA,1983,
ALA,1984,
ALA,1985,
ALA,1986,
ALA,1987,
ALA,1988,
ALA,1989,
ALA,1990,
ALA,1991,
ALA,1992,
ALA,1993,
ALA,1994,
ALA,1995,
ALA,1996,
ALA,1997,
ALA,1998,
ALA,1999,
ALA,2000,
ALA,2001,
ALA,2002,
ALA,2003,
ALA,2004,
ALA,2005,
ALA,2006,
ALA,2007,
ALA,2008,
ALA,2009,
ALA,2010,
ALA,2011,
ALA,2012,
ALA,2013,
ALA,2014,
ALA,2015,
ALA,2016,
ALA,2017,20.0
ALA,2018,20.0
ALA,2019,20.0
ALA,2020,20.0
ALA,2021,20.0
ALA,2022,20.0
ALA,2023,20.0
ALA,2024,20.0
ALA,2025,20.0
ALB,1980,
ALB,1981,
ALB,1982,
ALB,1983,
ALB,1984,
ALB,1985,
ALB,1986,
ALB,1987,
ALB,1988,
ALB,1989,
ALB,1990,
ALB,1991,
ALB,1992,
ALB,1993,
ALB,1994,
ALB,1995,30.0
ALB,1996,30.0
ALB,1997,30.0
ALB,1998,30.0
ALB,1999,30.0
ALB,2000,30.0
ALB,2001,30.0
ALB,2002,25.0
ALB,2003,25.0
ALB,2004,25.0
ALB,2005,23.0
ALB,2006,20.0
ALB,2007,20.0
ALB,2008,10.0
ALB,2009,10.0
ALB,2010,10.0
ALB,2011,10.0
ALB,2012,10.0
ALB,2013,10.0
ALB,2014,15.0
ALB,2015,15.0
ALB,2016,15.0
ALB,2017,15.0
ALB,2018,15.0
ALB,2019,15.0
ALB,2020,15.0
ALB,2021,15.0
ALB,2022,15.0
ALB,2023,15.0
ALB,2024,15.0
ALB,2025,15.0
AND,1980,
AND,1981,
AND,1982,
AND,1983,
AND,1984,
AND,1985,
AND,1986,
AND,1987,
AND,1988,
AND,1989,
AND,1990,
AND,1991,
AND,1992,
AND,1993,
AND,1994,
AND,1995,
AND,1996,
AND,1997,
AND,1998,
AND,1999,
AND,2000,0.0
AND,2001,0.0
AND,2002,0.0
AND,2003,0.0
AND,2004,0.0
AND,2005,0.0
AND,2006,0.0
AND,2007,0.0
AND,2008,0.0
AND,2009,0.0
AND,2010,0.0
AND,2011,0.0
AND,2012,10.0
AND,2013,10.0
AND,2014,10.0
AND,2015,10.0
AND,2016,10.0
AND,2017,10.0
AND,2018,10.0
AND,2019,10.0
AND,2020,10.0
AND,2021,10.0
AND,2022,10.0
AND,2023,10.0
AND,2024,10.0
AND,2025,10.0
ANT,1980,34.0
ANT,1981,34.0
ANT,1982,34.0
ANT,1983,34.0
ANT,1984,34.0
ANT,1985,34.0
ANT,1986,34.0
ANT,1987,34.0
ANT,1988,34.0
ANT,1989,34.0
ANT,1990,34.0
ANT,1991,34.0
ANT,1992,39.0
ANT,1993,39.0
ANT,1994,39.0
ANT,1995,39.0
ANT,1996,39.0
ANT,1997,39.0
ANT,1998,39.0
ANT,1999,
ANT,2000,
ANT,2001,35.0
ANT,2002,35.0
ANT,2003,
ANT,2004,34.5
ANT,2005,34.5
ANT,2006,34.5
ANT,2007,34.5
ANT,2008,34.5
ANT,2009,34.5
ANT,2010,
ANT,2011,
ANT,2012,
ANT,2013,
ANT,2014,
ANT,2015,
ANT,2016,
ANT,2017,
ANT,2018,
ANT,2019,
ANT,2020,
ANT,2021,
ANT,2022,
ANT,2023,
ANT,2024,
ANT,2025,
ARE,1980,0.0
ARE,1981,0.0
ARE,1982,0.0
ARE,1983,0.0
ARE,1984,0.0
ARE,1985,0.0
ARE,1986,0.0
ARE,1987,0.0
ARE,1988,0.0
ARE,1989,0.0
ARE,1990,0.0
ARE,1991,0.0
ARE,1992,0.0
ARE,1993,0.0
ARE,1994,0.0
ARE,1995,0.0
ARE,1996,0.0
ARE,1997,0.0
ARE,1998,0.0
ARE,1999,0.0
ARE,2000,0.0
ARE,2001,0.0
ARE,2002,0.0
ARE,2003,0.0
ARE,2004,0.0
ARE,2005,0.0
ARE,2006,0.0
ARE,2007,0.0
ARE,2008,0.0
ARE,2009,0.0
ARE,2010,0.0
ARE,2011,0.0
ARE,2012,0.0
ARE,2013,0.0
ARE,2014,0.0
ARE,2015,0.0
ARE,2016,0.0
ARE,2017,0.0
ARE,2018,0.0
ARE,2019,0.0
ARE,2020,0.0
ARE,2021,0.0
ARE,2022,0.0
ARE,2023,9.0
ARE,2024,9.0
ARE,2025,9.0
ARG,1980,33.0
ARG,1981,33.0
ARG,1982,33.0
ARG,1983,33.0
ARG,1984,33.0
ARG,1985,33.0
ARG,1986,33.0
ARG,1987,33.0
ARG,1988,33.0
ARG,1989,33.0
ARG,1990,20.0
ARG,1991,20.0
ARG,1992,20.0
ARG,1993,30.0
ARG,1994,30.0
ARG,1995,30.0
ARG,1996,30.0
ARG,1997,33.0
ARG,1998,33.0
ARG,1999,35.0
ARG,2000,35.0
ARG,2001,35.0
ARG,2002,35.0
ARG,2003,35.0
ARG,2004,35.0
ARG,2005,35.0
ARG,2006,35.0
ARG,2007,35.0
ARG,2008,35.0
ARG,2009,35.0
ARG,2010,35.0
ARG,2011,35.0
ARG,2012,35.0
ARG,2013,35.0
ARG,2014,35.0
ARG,2015,35.0
ARG,2016,35.0
ARG,2017,35.0
ARG,2018,30.0
ARG,2019,30.0
ARG,2020,30.0
ARG,2021,35.0
ARG,2022,35.0
ARG,2023,35.0
ARG,2024,35.0
ARG,2025,35.0
ARM,1980,
ARM,1981,
ARM,1982,
ARM,1983,
ARM,1984,
ARM,1985,
ARM,1986,
ARM,1987,
ARM,1988,
ARM,1989,
ARM,1990,
ARM,1991,
ARM,1992,
ARM,1993,
ARM,1994,
ARM,1995,
ARM,1996,20.0
ARM,1997,30.0
ARM,1998,30.0
ARM,1999,30.0
ARM,2000,25.0
ARM,2001,25.0
ARM,2002,20.0
ARM,2003,20.0
ARM,2004,20.0
ARM,2005,20.0
ARM,2006,20.0
ARM,2007,20.0
ARM,2008,20.0
ARM,2009,20.0
ARM,2010,20.0
ARM,2011,20.0
ARM,2012,20.0
ARM,2013,20.0
ARM,2014,20.0
ARM,2015,20.0
ARM,2016,20.0
ARM,2017,20.0
ARM,2018,20.0
ARM,2019,20.0
ARM,2020,18.0
ARM,2021,18.0
ARM,2022,18.0
ARM,2023,18.0
ARM,2024,18.0
ARM,2025,18.0
ASM,1980,
ASM,1981,
ASM,1982,
ASM,1983,
ASM,1984,
ASM,1985,
ASM,1986,
ASM,1987,
ASM,1988,
ASM,1989,
ASM,1990,
ASM,1991,
ASM,1992,
ASM,1993,
ASM,1994,
ASM,1995,
ASM,1996,
ASM,1997,
ASM,1998,
ASM,1999,
ASM,2000,
ASM,2001,
ASM,2002,
ASM,2003,
ASM,2004,
ASM,2005,
ASM,2006,
ASM,2007,
ASM,2008,
ASM,2009,
ASM,2010,
ASM,2011,
ASM,2012,
ASM,2013,
ASM,2014,44.0
ASM,2015,44.0
ASM,2016,44.0
ASM,2017,34.0
ASM,2018,34.0
ASM,2019,34.0
ASM,2020,34.0
ASM,2021,34.0
ASM,2022,34.0
ASM,2023,34.0
ASM,2024,34.0
ASM,2025,34.0
ATA,1980,
ATA,1981,
ATA,1982,
ATA,1983,
ATA,1984,
ATA,1985,
ATA,1986,
ATA,1987,
ATA,1988,
ATA,1989,
ATA,1990,
ATA,1991,
ATA,1992,
ATA,1993,
ATA,1994,
ATA,1995,
ATA,1996,
ATA,1997,
ATA,1998,
ATA,1999,
ATA,2000,
ATA,2001,
ATA,2002,
ATA,2003,
ATA,2004,
ATA,2005,
ATA,2006,
ATA,2007,
ATA,2008,
ATA,2009,
ATA,2010,
ATA,2011,
ATA,2012,
ATA,2013,
ATA,2014,
ATA,2015,
ATA,2016,
ATA,2017,
ATA,2018,
ATA,2019,
ATA,2020,
ATA,2021,
ATA,2022,
ATA,2023,
ATA,2024,
ATA,2025,
ATF,1980,
ATF,1981,
ATF,1982,
ATF,1983,
ATF,1984,
ATF,1985,
ATF,1986,
ATF,1987,
ATF,1988,
ATF,1989,
ATF,1990,
ATF,1991,
ATF,1992,
ATF,1993,
ATF,1994,
ATF,1995,
ATF,1996,
ATF,1997,
ATF,1998,
ATF,1999,
ATF,2000,
ATF,2001,
ATF,2002,
ATF,2003,
ATF,2004,
ATF,2005,
ATF,2006,
ATF,2007,
ATF,2008,
ATF,2009,
ATF,2010,
ATF,2011,
ATF,2012,
ATF,2013,
ATF,2014,
ATF,2015,
ATF,2016,
ATF,2017,
ATF,2018,
ATF,2019,
ATF,2020,
ATF,2021,
ATF,2022,
ATF,2023,
ATF,2024,
ATF,2025,
ATG,1980,
ATG,1981,
ATG,1982,
ATG,1983,
ATG,1984,
ATG,1985,
ATG,1986,
ATG,1987,40.0
ATG,1988,40.0
ATG,1989,40.0
ATG,1990,40.0
ATG,1991,40.0
ATG,1992,40.0
ATG,1993,40.0
ATG,1994,40.0
ATG,1995,40.0
ATG,1996,40.0
ATG,1997,40.0
ATG,1998,40.0
ATG,1999,40.0
ATG,2000,40.0
ATG,2001,40.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,30.0
ATG,2008,25.0
ATG,2009,25.0
ATG,2010,25.0
ATG,2011,25.0
ATG,2012,25.0
ATG,2013,25.0
ATG,2014,25.0
ATG,2015,25.0
ATG,2016,25.0
ATG,2017,25.0
ATG,2018,25.0
ATG,2019,25.0
ATG,2020,25.0
ATG,2021,25.0
ATG,2022,25.0
ATG,2023,25.0
ATG,2024,25.0
ATG,2025,25.0
AUS,1980,46.0
AUS,1981,46.0
AUS,1982,46.0
AUS,1983,46.0
AUS,1984,46.0
AUS,1985,46.0
AUS,1986,49.0
AUS,1987,49.0
AUS,1988,39.0
AUS,1989,39.0
AUS,1990,39.0
AUS,1991,39.0
AUS,1992,39.0
AUS,1993,33.0
AUS,1994,33.0
AUS,1995,36.0
AUS,1996,36.0
AUS,1997,36.0
AUS,1998,36.0
AUS,1999,36.0
AUS,2000,34.0
AUS,2001,30.0
AUS,2002,30.0
AUS,2003,30.0
AUS,2004,30.0
AUS,2005,30.0
AUS,2006,30.0
AUS,2007,30.0
AUS,2008,30.0
AUS,2009,30.0
AUS,2010,30.0
AUS,2011,30.0
AUS,2012,30.0
AUS,2013,30.0
AUS,2014,30.0
AUS,2015,30.0
AUS,2016,30.0
AUS,2017,30.0
AUS,2018,30.0
AUS,2019,30.0
AUS,2020,30.0
AUS,2021,30.0
AUS,2022,30.0
AUS,2023,30.0
AUS,2024,30.0
AUS,2025,30.0
AUT,1980,55.0
AUT,1981,55.0
AUT,1982,55.0
AUT,1983,55.0
AUT,1984,55.0
AUT,1985,55.0
AUT,1986,55.0
AUT,1987,55.0
AUT,1988,55.0
AUT,1989,30.0
AUT,1990,30.0
AUT,1991,30.0
AUT,1992,30.0
AUT,1993,30.0
AUT,1994,34.0
AUT,1995,34.0
AUT,1996,34.0
AUT,1997,34.0
AUT,1998,34.0
AUT,1999,34.0
AUT,2000,34.0
AUT,2001,34.0
AUT,2002,34.0
AUT,2003,34.0
AUT,2004,34.0
AUT,2005,25.0
AUT,2006,25.0
AUT,2007,25.0
AUT,2008,25.0
AUT,2009,25.0
AUT,2010,25.0
AUT,2011,25.0
AUT,2012,25.0
AUT,2013,25.0
AUT,2014,25.0
AUT,2015,25.0
AUT,2016,25.0
AUT,2017,25.0
AUT,2018,25.0
AUT,2019,25.0
AUT,2020,25.0
AUT,2021,25.0
AUT,2022,25.0
AUT,2023,24.0
AUT,2024,23.0
AUT,2025,23.0
AZE,1980,
AZE,1981,
AZE,1982,
AZE,1983,
AZE,1984,
AZE,1985,
AZE,1986,
AZE,1987,
AZE,1988,
AZE,1989,
AZE,1990,
AZE,1991,
AZE,1992,
AZE,1993,
AZE,1994,
AZE,1995,
AZE,1996,25.0
AZE,1997,32.0
AZE,1998,32.0
AZE,1999,32.0
AZE,2000,32.0
AZE,2001,27.0
AZE,2002,27.0
AZE,2003,27.0
AZE,2004,25.0
AZE,2005,24.0
AZE,2006,24.0
AZE,2007,22.0
AZE,2008,22.0
AZE,2009,22.0
AZE,2010,20.0
AZE,2011,20.0
AZE,2012,20.0
AZE,2013,20.0
AZE,2014,20.0
AZE,2015,20.0
AZE,2016,20.0
AZE,2017,20.0
AZE,2018,20.0
AZE,2019,20.0
AZE,2020,20.0
AZE,2021,20.0
AZE,2022,20.0
AZE,2023,20.0
AZE,2024,20.0
AZE,2025,20.0
BDI,1980,
BDI,1981,
BDI,1982,
BDI,1983,
BDI,1984,
BDI,1985,
BDI,1986,
BDI,1987,
BDI,1988,
BDI,1989,
BDI,1990,
BDI,1991,
BDI,1992,
BDI,1993,
BDI,1994,
BDI,1995,
BDI,1996,
BDI,1997,
BDI,1998,
BDI,1999,
BDI,2000,
BDI,2001,
BDI,2002,
BDI,2003,
BDI,2004,
BDI,2005,
BDI,2006,
BDI,2007,
BDI,2008,
BDI,2009,
BDI,2010,
BDI,2011,
BDI,2012,
BDI,2013,
BDI,2014,
BDI,2015,30.0
BDI,2016,30.0
BDI,2017,30.0
BDI,2018,30.0
BDI,2019,30.0
BDI,2020,30.0
BDI,2021,30.0
BDI,2022,30.0
BDI,2023,30.0
BDI,2024,30.0
BDI,2025,30.0
BEL,1980,48.0
BEL,1981,48.0
BEL,1982,48.0
BEL,1983,45.0
BEL,1984,45.0
BEL,1985,45.0
BEL,1986,45.0
BEL,1987,43.0
BEL,1988,43.0
BEL,1989,43.0
BEL,1990,41.0
BEL,1991,39.0
BEL,1992,39.0
BEL,1993,40.17
BEL,1994,40.17
BEL,1995,40.17
BEL,1996,40.17
BEL,1997,40.17
BEL,1998,40.17
BEL,1999,40.17
BEL,2000,40.17
BEL,2001,40.17
BEL,2002,40.17
BEL,2003,33.99
BEL,2004,33.99
BEL,2005,33.99
BEL,2006,35.97
BEL,2007,33.99
BEL,2008,33.99
BEL,2009,33.99
BEL,2010,33.99
BEL,2011,33.99
BEL,2012,33.99
BEL,2013,33.99
BEL,2014,33.99
BEL,2015,33.99
BEL,2016,33.99
BEL,2017,33.99
BEL,2018,29.58
BEL,2019,29.58
BEL,2020,25.0
BEL,2021,25.0
BEL,2022,25.0
BEL,2023,25.0
BEL,2024,25.0
BEL,2025,25.0
BEN,1980,
BEN,1981,
BEN,1982,
BEN,1983,
BEN,1984,
BEN,1985,
BEN,1986,
BEN,1987,
BEN,1988,
BEN,1989,
BEN,1990,
BEN,1991,
BEN,1992,
BEN,1993,
BEN,1994,
BEN,1995,
BEN,1996,
BEN,1997,
BEN,1998,
BEN,1999,
BEN,2000,0.0
BEN,2001,0.0
BEN,2002,0.0
BEN,2003,0.0
BEN,2004,0.0
BEN,2005,0.0
BEN,2006,0.0
BEN,2007,0.0
BEN,2008,0.0
BEN,2009,0.0
BEN,2010,30.0
BEN,2011,30.0
BEN,2012,30.0
BEN,2013,30.0
BEN,2014,30.0
BEN,2015,30.0
BEN,2016,30.0
BEN,2017,30.0
BEN,2018,30.0
BEN,2019,30.0
BEN,2020,30.0
BEN,2021,30.0
BEN,2022,30.0
BEN,2023,30.0
BEN,2024,30.0
BEN,2025,30.0
BES,1980,
BES,1981,
BES,1982,
BES,1983,
BES,1984,
BES,1985,
BES,1986,
BES,1987,
BES,1988,
BES,1989,
BES,1990,
BES,1991,
BES,1992,
BES,1993,
BES,1994,
BES,1995,
BES,1996,
BES,1997,
BES,1998,
BES,1999,
BES,2000,
BES,2001,
BES,2002,
BES,2003,
BES,2004,
BES,2005,
BES,2006,
BES,2007,
BES,2008,
BES,2009,
BES,2010,
BES,2011,
BES,2012,0.0
BES,2013,0.0
BES,2014,0.0
BES,2015,0.0
BES,2016,0.0
BES,2017,25.0
BES,2018,25.0
BES,2019,25.0
BES,2020,25.0
BES,2021,25.0
BES,2022,25.8
BES,2023,25.8
BES,2024,25.8
BES,2025,25.8
BFA,1980,
BFA,1981,
BFA,1982,
BFA,1983,
BFA,1984,
BFA,1985,
BFA,1986,
BFA,1987,
BFA,1988,
BFA,1989,
BFA,1990,
BFA,1991,
BFA,1992,
BFA,1993,
BFA,1994,
BFA,1995,
BFA,1996,
BFA,1997,
BFA,1998,
BFA,1999,
BFA,2000,35.0
BFA,2001,35.0
BFA,2002,35.0
BFA,2003,35.0
BFA,2004,35.0
BFA,2005,35.0
BFA,2006,35.0
BFA,2007,35.0
BFA,2008,30.0
BFA,2009,30.0
BFA,2010,27.5
BFA,2011,27.5
BFA,2012,27.5
BFA,2013,27.5
BFA,2014,27.5
BFA,2015,27.5
BFA,2016,27.5
BFA,2017,27.5
BFA,2018,28.0
BFA,2019,28.0
BFA,2020,28.0
BFA,2021,28.0
BFA,2022,27.5
BFA,2023,27.5
BFA,2024,27.5
BFA,2025,27.5
BGD,1980,
BGD,1981,
BGD,1982,
BGD,1983,
BGD,1984,
BGD,1985,
BGD,1986,
BGD,1987,
BGD,1988,
BGD,1989,
BGD,1990,
BGD,1991,40.0
BGD,1992,40.0
BGD,1993,40.0
BGD,1994,40.0
BGD,1995,40.0
BGD,1996,40.0
BGD,1997,40.0
BGD,1998,40.0
BGD,1999,35.0
BGD,2000,35.0
BGD,2001,35.0
BGD,2002,35.0
BGD,2003,30.0
BGD,2004,30.0
BGD,2005,30.0
BGD,2006,30.0
BGD,2007,30.0
BGD,2008,30.0
BGD,2009,27.5
BGD,2010,27.5
BGD,2011,27.5
BGD,2012,27.5
BGD,2013,27.5
BGD,2014,27.5
BGD,2015,27.5
BGD,2016,25.0
BGD,2017,25.0
BGD,2018,25.0
BGD,2019,25.0
BGD,2020,25.0
BGD,2021,32.5
BGD,2022,30.0
BGD,2023,27.5
BGD,2024,27.5
BGD,2025,27.5
BGR,1980,
BGR,1981,
BGR,1982,
BGR,1983,
BGR,1984,
BGR,1985,
BGR,1986,
BGR,1987,
BGR,1988,
BGR,1989,
BGR,1990,
BGR,1991,
BGR,1992,
BGR,1993,40.0
BGR,1994,40.0
BGR,1995,40.0
BGR,1996,40.0
BGR,1997,36.0
BGR,1998,30.0
BGR,1999,30.0
BGR,2000,30.0
BGR,2001,25.0
BGR,2002,20.0
BGR,2003,23.5
BGR,2004,19.5
BGR,2005,15.0
BGR,2006,15.0
BGR,2007,10.0
BGR,2008,10.0
BGR,2009,10.0
BGR,2010,10.0
BGR,2011,10.0
BGR,2012,10.0
BGR,2013,10.0
BGR,2014,10.0
BGR,2015,10.0
BGR,2016,10.0
BGR,2017,10.0
