ISO3,year,deflator,exports_GDP,imports_GDP,finv_GDP,infl,REER,ltrate,strate
ABW,1970,82.12213,93.02821,85.9007,29.316584,,,,
ABW,1971,79.29334,93.028206,85.90068,29.316591,,,,
ABW,1972,76.56202,93.02822,85.90071,29.316586,,,,
ABW,1973,73.92475,93.02823,85.90073,29.31658,,,,
ABW,1974,71.378334,93.02817,85.9006,29.3166,,,,
ABW,1975,68.91964,93.02827,85.900826,29.316578,,,,
ABW,1976,66.54563,93.028244,85.90075,29.316559,,,,
ABW,1977,64.253395,93.027985,85.90021,29.316673,,,,
ABW,1978,62.040127,93.02857,85.90152,29.316498,,,,
ABW,1979,59.903088,93.0282,85.90053,29.3165,,,,
ABW,1980,57.839664,93.02717,85.898575,29.317024,,,,
ABW,1981,55.847317,93.030365,85.90545,29.315973,,,,
ABW,1982,53.923607,93.02705,85.89757,29.316504,,,,
ABW,1983,52.066147,93.02409,85.892685,29.318592,,,,
ABW,1984,50.27268,93.039955,85.92609,29.312826,,,,
ABW,1985,48.540985,93.0171,85.87394,29.31809,4.032258,,,
ABW,1986,46.868942,93.01522,85.87804,29.324862,1.0739664,,,
ABW,1987,48.556553,93.087555,86.02631,29.295527,3.6430454,,,
ABW,1988,50.058056,92.948494,85.71746,29.333883,3.1218686,,,
ABW,1989,52.04427,93.00962,85.89032,29.345173,3.991628,,,
ABW,1990,55.07103,93.30455,86.471146,29.207527,5.8366876,,,
ABW,1991,58.161682,92.53132,84.79092,29.448946,5.5555553,,,
ABW,1992,60.367508,93.19299,86.40888,29.379045,3.8733754,,,
ABW,1993,63.564884,94.18935,88.21365,28.794588,5.21556,,,
ABW,1994,67.57809,90.21161,79.75023,30.173204,6.3110795,,,
ABW,1995,65.429016,95.17799,91.26276,29.169348,3.361391,,,
ABW,1996,67.56167,97.17844,93.62797,27.041208,3.2,,,
ABW,1997,70.064316,92.56998,91.03824,29.095213,2.996,,,
ABW,1998,74.683624,89.32475,88.27149,29.45952,1.875,,,
ABW,1999,76.31453,89.67409,89.34009,30.052328,2.277,,,
ABW,2000,73.58512,74.38601,70.68687,24.046959,4.049,,,
ABW,2001,71.49863,70.99685,69.394325,22.612293,2.89,,,
ABW,2002,74.66936,64.56446,68.66646,25.108921,3.32,,,
ABW,2003,76.94606,62.731216,70.06308,26.78384,3.66,,,
ABW,2004,79.108185,64.665634,67.76537,26.593184,2.53,,,
ABW,2005,83.11697,68.07522,76.97511,31.68664,3.4,,,
ABW,2006,86.01305,64.59416,76.44851,33.070793,3.61,,,
ABW,2007,90.457306,65.061195,74.91102,30.184978,5.39,,,
ABW,2008,94.31289,65.52925,73.58092,30.553488,8.96,,,
ABW,2009,95.91938,62.91856,74.63801,27.676434,-2.14,,,
ABW,2010,94.74592,60.218266,75.246475,26.667257,2.08,,,
ABW,2011,98.54115,69.75096,84.686676,25.86064,4.32,,,
ABW,2012,98.7224,73.103584,83.54168,21.909458,0.63,,,
ABW,2013,96.752,73.57643,82.155464,23.82586,-2.37,,,
ABW,2014,97.59473,75.45462,81.03643,23.111443,0.42,,,
ABW,2015,100.0,70.321724,70.17128,21.538868,0.48,,,
ABW,2016,99.471855,68.96666,67.9206,20.574957,-0.89,,,
ABW,2017,99.61873,69.63694,69.07969,20.551172,-0.474,,,
ABW,2018,102.253456,68.40886,70.41611,22.401718,3.58,,,
ABW,2019,103.202675,66.71208,71.229774,22.613354,4.257,,,
ABW,2020,99.52174,53.905254,69.57053,23.927902,1.222,,,
ABW,2021,100.83056,68.42806,78.28744,19.619787,0.744,,,
ABW,2022,104.26705,86.771034,85.15178,20.998943,5.52,,,
ABW,2023,111.67943,83.84814,77.96498,22.727898,3.366,,,
ABW,2024,116.30775,85.46854,77.71493,25.595884,2.309484,,,
ABW,2025,119.0213,,,,2.3447623,,,
AFG,1960,0.0037334233,4.132089,7.024548,,,,,
AFG,1961,0.0037757836,4.4532876,8.096883,,,,,
AFG,1962,0.0036978202,4.8778806,9.349267,,,,,
AFG,1963,0.0049911616,9.171281,16.863321,,,,,
AFG,1964,0.0052110227,8.888581,18.054924,,,,,
AFG,1965,0.0064224084,11.257886,21.412056,,,,,
AFG,1966,0.0088356715,8.571129,18.57078,,,,,
AFG,1967,0.010266012,6.7726717,14.2093315,,,,,
AFG,1968,0.008141487,8.899365,15.2098255,,,,,
AFG,1969,0.008222921,10.094284,14.983704,,,,,
AFG,1970,0.010007688,9.784003,11.944108,5.463794,25.51,,,
AFG,1971,0.010507161,10.922342,16.140795,5.4611707,25.51,,,
AFG,1972,0.01095174,14.763232,18.10585,6.5459614,-12.52,,,
AFG,1973,0.011562599,12.948718,14.74359,7.3076916,-10.68,,,
AFG,1974,0.013635578,14.02062,14.845362,8.762888,10.23,,,
AFG,1975,0.01409631,12.676056,14.272301,9.765258,11.85,,,
AFG,1976,0.014432194,13.217391,14.869566,13.652174,0.6,,,
AFG,1977,0.017564293,11.662905,14.823175,12.415349,7.65,,,
AFG,1978,0.018272972,10.841751,13.872053,13.872053,5.0,,,
AFG,1979,0.020425912,11.907349,14.521598,13.313193,9.9,,,
AFG,1980,0.021082273,11.470668,14.405608,13.200198,13.4,,,
AFG,1981,0.022105007,11.406589,14.266421,13.461815,22.2,,,
AFG,1982,0.021900294,11.594869,14.397877,13.325068,18.2,,,
AFG,1983,0.020634975,11.490708,14.356634,13.329027,15.9,,,
AFG,1984,0.020031115,11.49739,14.340311,13.371971,20.4,,,
AFG,1985,0.019748682,11.527656,14.364941,13.342023,8.7,,,
AFG,1986,0.01916746,11.505252,14.353963,13.347674,-2.1,,,
AFG,1987,0.018574048,11.5100975,14.353072,13.3538885,18.4,,,
AFG,1988,0.01868411,11.514335,14.357325,13.34786,27.5,,,
AFG,1989,0.025218166,11.509895,14.354787,13.349808,71.5,,,
AFG,1990,0.028207075,11.511443,14.355061,13.350519,47.4,,,
AFG,1991,0.029207109,13.828862,20.370834,13.2363405,43.8,,,
AFG,1992,0.029900488,16.146282,26.386608,13.122163,58.19,,,
AFG,1993,0.030556848,18.463703,32.40238,13.007984,33.99,,,
AFG,1994,0.26208583,20.781122,38.418156,12.8938055,20.01,,,
AFG,1995,0.5244329,23.098541,44.43393,12.779626,14.0,,,
AFG,1996,1.6033971,25.415962,50.449703,12.665449,14.01,,,
AFG,1997,1.9581969,27.73338,56.465477,12.5512705,14.01,,,
AFG,1998,1.9803623,30.050802,62.48125,12.437091,14.01,,,
AFG,1999,30.211508,32.36822,68.497025,12.322914,14.01,,,
AFG,2000,42.171085,34.685642,74.5128,12.208735,0.001,,,
AFG,2001,47.87526,33.73236,75.66772,13.596509,-43.4,,,
AFG,2002,43.8426,29.65867,59.78838,11.294567,51.93,59.14501,,
AFG,2003,47.514294,41.50659,81.40593,10.917384,35.663,70.48289,,
AFG,2004,51.650234,32.81798,68.96992,15.684535,16.358,77.39712,,
AFG,2005,56.509842,29.004534,60.890648,18.399605,10.569,78.72882,,
AFG,2006,60.937363,28.91766,54.407745,19.671505,6.78,80.103775,,
AFG,2007,73.45667,21.220306,42.28675,14.878643,8.68,80.93048,,
AFG,2008,73.19942,20.754894,30.68157,12.481066,26.42,96.79438,,
AFG,2009,69.98386,20.171934,28.88561,12.825751,-6.81,92.40525,,
AFG,2010,71.69645,15.47244,31.350601,13.139437,2.18,96.54553,,
AFG,2011,85.0259,11.244582,33.296078,13.237701,11.8,98.67519,,
AFG,2012,90.71972,12.647566,43.179527,15.223395,6.44,96.57934,,
AFG,2013,93.94518,15.222702,40.287086,15.001274,7.39,97.019005,,
AFG,2014,92.62305,15.862473,33.585835,14.337411,4.67,98.508255,,
AFG,2015,93.506485,17.49051,33.887825,14.500132,-0.66,100.0,,
AFG,2016,98.913994,18.24206,32.301525,12.794485,4.38,93.33021,,
AFG,2017,100.88447,21.950293,33.794674,13.872382,4.976,95.60417,,
AFG,2018,104.655876,15.613591,41.01293,14.263223,0.63,88.71728,,
AFG,2019,111.58963,12.266595,35.201065,12.566379,2.302,85.3095,,
AFG,2020,116.47684,10.420822,36.28909,11.455635,5.443,89.09266,,
AFG,2021,119.78363,14.342192,37.069588,12.986697,5.062,83.477165,,
AFG,2022,131.05083,18.380018,54.50539,16.668453,10.6,88.44547,,
AFG,2023,134.88228,16.235249,50.764294,15.243532,-7.4484615,88.22541,,
AFG,2024,125.66003,9.970744,69.28714,11.163567,-6.601186,,,
AFG,2025,,,,,,,,
AGO,1960,,,,,-0.99,,,
AGO,1961,,,,,2.0,,,
AGO,1962,,,,,5.88,,,
AGO,1963,,,,,6.0,,,
AGO,1964,,,,,35.22,,,
AGO,1965,,,,,-2.57,,,
AGO,1966,,,,,16.17,,,
AGO,1967,,,,,36.36,,,
AGO,1968,,,,,53.33,,,
AGO,1969,2.8201173e-09,29.3063,30.95973,,6.11,15.610847,,
AGO,1970,2.8505818e-09,35.406662,33.001156,23.526043,7.97,15.988813,,
AGO,1971,2.7879152e-09,35.475708,33.004307,23.505783,5.78,16.146627,,
AGO,1972,2.7331055e-09,35.482544,33.10067,23.589151,15.8,17.414808,,
AGO,1973,2.8016434e-09,35.449184,33.192444,23.614607,15.67,18.923994,,
AGO,1974,3.1592584e-09,35.446903,33.244267,23.597435,27.42,20.509766,,
AGO,1975,2.4650817e-09,35.17897,32.464077,23.323214,29.0,23.022245,,
AGO,1976,2.8701392e-09,35.820927,33.020054,23.404495,80.7,35.427174,,
AGO,1977,3.163734e-09,35.51671,33.582493,24.005991,69.01,53.284588,,
AGO,1978,3.726273e-09,35.282417,33.651325,23.7419,48.46,68.47508,,
AGO,1979,4.1250723e-09,35.435482,33.50338,23.51158,101.3,120.3915,,
AGO,1980,5.354507e-09,33.839325,28.563143,21.952095,46.708,157.88976,,
AGO,1981,5.2420464e-09,39.030666,35.79994,23.81091,1.391,169.707,,
AGO,1982,5.2420464e-09,33.99565,36.39468,27.013477,1.833,180.00209,,
AGO,1983,5.2427147e-09,34.11098,33.995487,22.421432,1.833,188.88393,,
AGO,1984,5.2427773e-09,36.20079,32.763676,22.360003,1.833,201.32431,,
AGO,1985,6.2407506e-09,32.903603,28.676243,17.114408,1.833,205.37263,,
AGO,1986,5.6916765e-09,22.994278,25.788412,17.493166,1.833,169.48897,,
AGO,1987,6.2969847e-09,32.78986,26.130793,17.25744,1.833,148.6134,,
AGO,1988,6.4590915e-09,32.495403,25.47047,14.569134,1.833,141.85878,,
AGO,1989,7.575835e-09,33.1666,22.569698,11.283291,1.833,144.78584,,
AGO,1990,8.740268e-09,37.830666,23.064182,11.164636,1.833,127.57968,,
AGO,1991,1.9042272e-08,23.861172,23.752712,12.472886,85.265,124.28724,,
AGO,1992,1.0683945e-07,65.07903,68.30219,3.8390474,299.097,101.27085,,
AGO,1993,1.086524e-06,59.09549,60.295834,31.012321,1379.476,148.56555,,
AGO,1994,2.4892244e-05,84.52977,74.49023,32.770947,949.771,67.05616,,
AGO,1995,0.0004833259,69.77356,70.9952,28.051136,2672.23,36.363567,,
AGO,1996,0.026248716,75.6709,62.805138,35.220215,4146.01,21.21958,,
AGO,1997,0.051731367,61.50895,61.398666,25.668066,221.492,41.776764,,
AGO,1998,0.072009526,48.49844,61.7249,34.497498,107.429,52.60844,,
AGO,1999,0.4819407,75.19754,79.63752,27.632475,248.248,25.760017,,
AGO,2000,2.517345,59.255375,45.700844,11.948621,325.029,32.68278,,
AGO,2001,5.2378764,64.233536,62.810596,13.42076,152.586,38.356766,,
AGO,2002,11.730645,49.497536,41.07328,31.26989,108.893,38.558407,,
AGO,2003,22.828686,47.564465,43.116257,30.344194,98.219,38.07837,,
AGO,2004,30.44943,51.044178,39.341866,31.180532,43.525,44.191486,,52.176666
AGO,2005,42.670753,58.72327,36.61819,28.984997,22.961,50.4168,,31.626667
AGO,2006,49.84559,56.85334,27.771267,22.888725,13.305,59.92054,,7.86
AGO,2007,52.42486,61.21051,36.015125,26.250378,12.249,64.53757,,
AGO,2008,62.60964,65.03053,43.649876,30.58106,12.465,69.771454,,
AGO,2009,53.67445,50.899384,51.363796,43.000393,13.721,79.155785,,
AGO,2010,69.06333,53.892517,37.101547,28.919453,14.48,77.34853,,10.82
AGO,2011,89.53707,54.120537,34.916412,27.441841,13.484,79.75578,,6.9258056
AGO,2012,95.9052,50.02706,31.91242,27.78888,10.285,89.2655,,3.4472222
AGO,2013,99.006294,45.232323,32.11748,27.15944,8.782,93.68541,8.196667,3.064618
AGO,2014,103.04746,37.014324,32.565815,28.432756,7.298,98.06014,8.166667,4.2793055
AGO,2015,100.0,26.148932,28.83045,29.072123,9.159,100.0,7.77,7.2038193
AGO,2016,120.8727,24.659164,22.3564,30.076176,32.37773,96.69199,7.7516665,15.0919075
AGO,2017,149.535,25.457237,20.207108,29.13187,29.844,120.20212,7.5833335,16.347918
AGO,2018,187.2091,36.245895,22.670584,24.159252,19.63,89.68922,5.625,13.131458
AGO,2019,224.39984,37.16033,23.554493,24.590487,17.079,74.97063,,13.084375
AGO,2020,260.4465,31.575829,22.768402,19.551922,21.024,57.125763,,16.497036
AGO,2021,353.3053,39.449486,22.076729,15.959365,23.846111,61.748688,,19.36511
AGO,2022,417.33044,35.196053,20.05872,14.137035,23.826818,105.44642,,10.345
AGO,2023,492.15463,32.3263,20.70718,12.290754,13.644102,76.320404,15.0,10.522778
AGO,2024,613.2472,31.483524,19.35871,10.394122,28.240496,,18.625,17.5
AGO,2025,734.514,27.014227,16.05885,,20.16202,,17.25,
AIA,1970,7.027456,45.355743,50.793587,45.779114,,,,
AIA,1971,8.312253,45.36468,50.787235,45.766205,,,,
AIA,1972,8.604658,45.37786,50.796814,45.81138,,,,
AIA,1973,9.52716,45.440983,50.867252,45.85093,,,,
AIA,1974,11.01764,45.296516,50.779087,45.815975,,,,
AIA,1975,12.2949505,45.29866,50.737534,45.651077,,,,
AIA,1976,13.970784,45.409412,50.755463,45.701645,,,,
AIA,1977,16.094034,45.443737,50.844738,46.03727,,,,
AIA,1978,17.282764,45.756603,51.21944,46.048714,,,,
AIA,1979,18.210476,44.57417,50.33826,45.64117,,,,
AIA,1980,20.03992,45.30939,50.529762,44.826588,,,,
AIA,1981,22.294924,45.963146,50.84511,45.95445,,,,
AIA,1982,26.01912,45.61537,51.291134,47.715443,,,,
AIA,1983,30.002676,47.320927,53.092907,46.105896,,,,
AIA,1984,33.34543,38.66202,45.932384,43.6035,,,,
AIA,1985,37.061253,48.985485,51.48726,40.753624,,,,
AIA,1986,42.489483,49.23193,52.421864,51.59379,,,,
AIA,1987,47.90112,43.876488,53.52127,56.52043,,,,
AIA,1988,51.88463,55.8487,62.101753,38.05814,,,,
AIA,1989,59.50963,61.386406,63.879547,40.721115,,,,
AIA,1990,52.619987,54.473427,57.425667,38.515594,,,,
AIA,1991,66.10186,55.805683,57.661816,32.82248,4.616775,,,
AIA,1992,55.807022,54.047195,66.05673,33.190964,2.3557127,,,
AIA,1993,56.655754,59.222954,65.20211,25.600773,4.265439,,,
AIA,1994,58.53238,61.41605,62.1165,25.01952,3.5096755,,,
AIA,1995,60.4866,54.75154,72.12007,27.38989,1.3861245,,,
AIA,1996,62.309296,56.586296,77.1683,29.053562,3.5826964,,,
AIA,1997,63.040936,59.079044,72.70859,25.619051,0.10829836,,,
AIA,1998,64.586914,63.611473,77.60169,33.754265,2.6369169,,,
AIA,1999,66.182724,49.064594,81.52374,41.79775,1.604752,,,
AIA,2000,66.52993,46.04945,82.42085,41.36953,4.7220697,,,
AIA,2001,67.65533,47.584225,69.217964,31.91494,4.6628356,,,
AIA,2002,71.42135,44.294292,63.533302,23.998924,0.5377658,,,
AIA,2003,73.44515,44.999332,64.96318,25.655111,3.2093363,,,
AIA,2004,76.02871,41.747265,68.02377,33.778244,4.3580685,,,
AIA,2005,77.20577,49.460526,74.265785,35.92437,4.6072235,,,
AIA,2006,80.785675,48.051918,102.0665,41.232193,8.4396105,,,
AIA,2007,88.90694,40.183628,89.913284,53.42587,4.4237046,,,
AIA,2008,90.14485,37.92852,90.96341,58.906124,7.451167,,,
AIA,2009,87.7348,47.34245,77.001144,30.767725,-0.67925864,,,
AIA,2010,87.040276,47.32251,69.25877,25.016674,2.1039283,,,
AIA,2011,92.326866,47.244637,63.443645,16.22817,4.724195,,,
AIA,2012,95.54686,47.82533,64.590225,18.656244,1.4083841,,,
AIA,2013,96.0816,51.49416,65.908325,19.233877,0.14680524,,,
AIA,2014,100.71935,51.64732,72.29314,24.433708,-0.25362402,,,
AIA,2015,100.0,52.06152,79.22287,25.93351,-0.9727536,,,
AIA,2016,101.220245,53.8885,77.82658,22.655153,-0.5218374,,,
AIA,2017,94.75609,80.736,85.44117,23.202232,1.2941794,,,
