ISO3,year,hc
ABW,1950,
ABW,1951,
ABW,1952,
ABW,1953,
ABW,1954,
ABW,1955,
ABW,1956,
ABW,1957,
ABW,1958,
ABW,1959,
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,
ABW,1987,
ABW,1988,
ABW,1989,
ABW,1990,
ABW,1991,
ABW,1992,
ABW,1993,
ABW,1994,
ABW,1995,
ABW,1996,
ABW,1997,
ABW,1998,
ABW,1999,
ABW,2000,
ABW,2001,
ABW,2002,
ABW,2003,
ABW,2004,
ABW,2005,
ABW,2006,
ABW,2007,
ABW,2008,
ABW,2009,
ABW,2010,
ABW,2011,
ABW,2012,
ABW,2013,
ABW,2014,
ABW,2015,
ABW,2016,
ABW,2017,
ABW,2018,
ABW,2019,
ABW,2020,
ABW,2021,
ABW,2022,
ABW,2023,
AGO,1950,
AGO,1951,
AGO,1952,
AGO,1953,
AGO,1954,
AGO,1955,
AGO,1956,
AGO,1957,
AGO,1958,
AGO,1959,
AGO,1960,
AGO,1961,
AGO,1962,
AGO,1963,
AGO,1964,
AGO,1965,
AGO,1966,
AGO,1967,
AGO,1968,
AGO,1969,
AGO,1970,1.01568579673767
AGO,1971,1.01819562911987
AGO,1972,1.02071154117584
AGO,1973,1.02323377132416
AGO,1974,1.02576220035553
AGO,1975,1.02829682826996
AGO,1976,1.03083777427673
AGO,1977,1.03338503837585
AGO,1978,1.03593850135803
AGO,1979,1.03849828243256
AGO,1980,1.04106438159943
AGO,1981,1.0503808259964
AGO,1982,1.05978059768677
AGO,1983,1.06926441192627
AGO,1984,1.07883322238922
AGO,1985,1.08848750591278
AGO,1986,1.09822833538055
AGO,1987,1.10805630683899
AGO,1988,1.11797213554382
AGO,1989,1.12797677516937
AGO,1990,1.13807094097137
AGO,1991,1.15304005146027
AGO,1992,1.16820621490479
AGO,1993,1.18357169628143
AGO,1994,1.19913935661316
AGO,1995,1.21491169929504
AGO,1996,1.23089158535004
AGO,1997,1.24708163738251
AGO,1998,1.26348471641541
AGO,1999,1.2801034450531
AGO,2000,1.29694080352783
AGO,2001,1.30848634243011
AGO,2002,1.32013463973999
AGO,2003,1.33188664913178
AGO,2004,1.34374332427979
AGO,2005,1.35570561885834
AGO,2006,1.36777424812317
AGO,2007,1.37995040416718
AGO,2008,1.39223492145538
AGO,2009,1.40462875366211
AGO,2010,1.41713297367096
AGO,2011,1.42419624328613
AGO,2012,1.43129467964172
AGO,2013,1.43842852115631
AGO,2014,1.44559788703918
AGO,2015,1.45280301570892
AGO,2016,1.46004402637482
AGO,2017,1.46732115745544
AGO,2018,1.4746345281601
AGO,2019,1.48198437690735
AGO,2020,1.48937082290649
AGO,2021,1.50713586807251
AGO,2022,1.52565121650696
AGO,2023,1.54495549201965
AIA,1950,
AIA,1951,
AIA,1952,
AIA,1953,
AIA,1954,
AIA,1955,
AIA,1956,
AIA,1957,
AIA,1958,
AIA,1959,
AIA,1960,
AIA,1961,
AIA,1962,
AIA,1963,
AIA,1964,
AIA,1965,
AIA,1966,
AIA,1967,
AIA,1968,
AIA,1969,
AIA,1970,
AIA,1971,
AIA,1972,
AIA,1973,
AIA,1974,
AIA,1975,
AIA,1976,
AIA,1977,
AIA,1978,
AIA,1979,
AIA,1980,
AIA,1981,
AIA,1982,
AIA,1983,
AIA,1984,
AIA,1985,
AIA,1986,
AIA,1987,
AIA,1988,
AIA,1989,
AIA,1990,
AIA,1991,
AIA,1992,
AIA,1993,
AIA,1994,
AIA,1995,
AIA,1996,
AIA,1997,
AIA,1998,
AIA,1999,
AIA,2000,
AIA,2001,
AIA,2002,
AIA,2003,
AIA,2004,
AIA,2005,
AIA,2006,
AIA,2007,
AIA,2008,
AIA,2009,
AIA,2010,
AIA,2011,
AIA,2012,
AIA,2013,
AIA,2014,
AIA,2015,
AIA,2016,
AIA,2017,
AIA,2018,
AIA,2019,
AIA,2020,
AIA,2021,
AIA,2022,
AIA,2023,
ALB,1950,
ALB,1951,
ALB,1952,
ALB,1953,
ALB,1954,
ALB,1955,
ALB,1956,
ALB,1957,
ALB,1958,
ALB,1959,
ALB,1960,
ALB,1961,
ALB,1962,
ALB,1963,
ALB,1964,
ALB,1965,
ALB,1966,
ALB,1967,
ALB,1968,
ALB,1969,
ALB,1970,1.55879187583923
ALB,1971,1.58679270744324
ALB,1972,1.61529648303986
ALB,1973,1.6443122625351
ALB,1974,1.67384922504425
ALB,1975,1.7039167881012
ALB,1976,1.73900902271271
ALB,1977,1.77348244190216
ALB,1978,1.80863916873932
ALB,1979,1.84449279308319
ALB,1980,1.88105726242065
ALB,1981,1.95062220096588
ALB,1982,2.02275991439819
ALB,1983,2.09756517410278
ALB,1984,2.17513704299927
ALB,1985,2.2555775642395
ALB,1986,2.30543994903564
ALB,1987,2.35640478134155
ALB,1988,2.40849614143372
ALB,1989,2.46173906326294
ALB,1990,2.51615881919861
ALB,1991,2.51573324203491
ALB,1992,2.5153079032898
ALB,1993,2.51488256454468
ALB,1994,2.51445722579956
ALB,1995,2.51403188705444
ALB,1996,2.58118939399719
ALB,1997,2.6345043182373
ALB,1998,2.68892025947571
ALB,1999,2.744460105896
ALB,2000,2.8011474609375
ALB,2001,2.8150897026062
ALB,2002,2.8291015625
ALB,2003,2.84318327903748
ALB,2004,2.85733485221863
ALB,2005,2.87155675888062
ALB,2006,2.87803173065186
ALB,2007,2.884521484375
ALB,2008,2.89102554321289
ALB,2009,2.89754462242126
ALB,2010,2.90407800674438
ALB,2011,2.93933033943176
ALB,2012,2.98676872253418
ALB,2013,2.98455333709717
ALB,2014,2.98233938217163
ALB,2015,2.98012733459473
ALB,2016,2.9779167175293
ALB,2017,2.97570776939392
ALB,2018,2.98273301124573
ALB,2019,2.98979878425598
ALB,2020,2.99690508842468
ALB,2021,3.00405287742615
ALB,2022,3.0112419128418
ALB,2023,3.01847267150879
ARE,1950,
ARE,1951,
ARE,1952,
ARE,1953,
ARE,1954,
ARE,1955,
ARE,1956,
ARE,1957,
ARE,1958,
ARE,1959,
ARE,1960,
ARE,1961,
ARE,1962,
ARE,1963,
ARE,1964,
ARE,1965,
ARE,1966,
ARE,1967,
ARE,1968,
ARE,1969,
ARE,1970,1.37665104866028
ARE,1971,1.39815390110016
ARE,1972,1.41999268531799
ARE,1973,1.44217252731323
ARE,1974,1.46469879150391
ARE,1975,1.48757696151733
ARE,1976,1.51268970966339
ARE,1977,1.53822648525238
ARE,1978,1.56419432163239
ARE,1979,1.59060049057007
ARE,1980,1.61745250225067
ARE,1981,1.65628409385681
ARE,1982,1.69604790210724
ARE,1983,1.72992587089539
ARE,1984,1.7611380815506
ARE,1985,1.79291343688965
ARE,1986,1.83516943454742
ARE,1987,1.87842130661011
ARE,1988,1.92269253730774
ARE,1989,1.96800708770752
ARE,1990,2.01438975334168
ARE,1991,2.07472515106201
ARE,1992,2.13686800003052
ARE,1993,2.20087194442749
ARE,1994,2.26679301261902
ARE,1995,2.33468842506409
ARE,1996,2.39202475547791
ARE,1997,2.45076894760132
ARE,1998,2.51095581054688
ARE,1999,2.56848430633545
ARE,2000,2.61078405380249
ARE,2001,2.62868571281433
ARE,2002,2.64671063423157
ARE,2003,2.6648588180542
ARE,2004,2.6831316947937
ARE,2005,2.70152950286865
ARE,2006,2.70470285415649
ARE,2007,2.70787954330444
ARE,2008,2.71106028556824
ARE,2009,2.71424436569214
ARE,2010,2.71743273735046
ARE,2011,2.74564242362976
ARE,2012,2.77414512634277
ARE,2013,2.80294370651245
ARE,2014,2.8320415019989
ARE,2015,2.86144089698792
ARE,2016,2.89114570617676
ARE,2017,3.11606049537659
ARE,2018,3.19747185707092
ARE,2019,3.23897194862366
ARE,2020,3.24693775177002
ARE,2021,3.25492286682129
ARE,2022,3.29919362068176
ARE,2023,3.30434536933899
ARG,1950,1.81650292873383
ARG,1951,1.83076894283295
ARG,1952,1.84514713287354
ARG,1953,1.85963821411133
ARG,1954,1.87424302101135
ARG,1955,1.88896262645721
ARG,1956,1.90176832675934
ARG,1957,1.91466104984283
ARG,1958,1.92764103412628
ARG,1959,1.940709233284
ARG,1960,1.95386576652527
ARG,1961,1.96492779254913
ARG,1962,1.9760525226593
ARG,1963,1.98724031448364
ARG,1964,1.99849140644073
ARG,1965,2.00980615615845
ARG,1966,2.02271342277527
ARG,1967,2.03570342063904
ARG,1968,2.04877686500549
ARG,1969,2.06193423271179
ARG,1970,2.07517623901367
ARG,1971,2.09646344184876
ARG,1972,2.1179690361023
ARG,1973,2.1396951675415
ARG,1974,2.16164422035217
ARG,1975,2.18381834030151
ARG,1976,2.19690632820129
ARG,1977,2.21007299423218
ARG,1978,2.22331833839417
ARG,1979,2.23664307594299
ARG,1980,2.25004768371582
ARG,1981,2.28316402435303
ARG,1982,2.3167679309845
ARG,1983,2.3508665561676
ARG,1984,2.38546681404114
ARG,1985,2.42057633399963
ARG,1986,2.44188833236694
ARG,1987,2.46338820457459
ARG,1988,2.48507714271545
ARG,1989,2.50695705413818
ARG,1990,2.52902960777283
ARG,1991,2.55256795883179
ARG,1992,2.57097387313843
ARG,1993,2.58705997467041
ARG,1994,2.60324645042419
ARG,1995,2.61953449249268
ARG,1996,2.62702393531799
ARG,1997,2.63453459739685
ARG,1998,2.64206695556641
ARG,1999,2.64962077140808
ARG,2000,2.65719604492188
ARG,2001,2.68300294876099
ARG,2002,2.70905995368958
ARG,2003,2.73537039756775
ARG,2004,2.76193618774414
ARG,2005,2.7887601852417
ARG,2006,2.7969753742218
ARG,2007,2.80521464347839
ARG,2008,2.81347823143005
ARG,2009,2.82176613807678
ARG,2010,2.83007836341858
ARG,2011,2.8585422039032
ARG,2012,2.88729238510132
ARG,2013,2.91633176803589
ARG,2014,2.9456627368927
ARG,2015,2.97528910636902
ARG,2016,3.00521349906921
ARG,2017,3.03543877601624
ARG,2018,3.06596803665161
ARG,2019,3.09680438041687
ARG,2020,3.12795066833496
ARG,2021,3.13874697685242
ARG,2022,3.14963102340698
ARG,2023,3.16060328483582
ARM,1950,
ARM,1951,
ARM,1952,
ARM,1953,
ARM,1954,
ARM,1955,
ARM,1956,
ARM,1957,
ARM,1958,
ARM,1959,
ARM,1960,
ARM,1961,
ARM,1962,
ARM,1963,
ARM,1964,
ARM,1965,
ARM,1966,
ARM,1967,
ARM,1968,
ARM,1969,
ARM,1970,
ARM,1971,
ARM,1972,
ARM,1973,
ARM,1974,
ARM,1975,
ARM,1976,
ARM,1977,
ARM,1978,
ARM,1979,
ARM,1980,
ARM,1981,
ARM,1982,
ARM,1983,
ARM,1984,
ARM,1985,
ARM,1986,
ARM,1987,
ARM,1988,
ARM,1989,
ARM,1990,2.94858050346375
ARM,1991,2.96298289299011
ARM,1992,2.97745585441589
ARM,1993,2.99199914932251
ARM,1994,3.00661373138428
ARM,1995,3.0212996006012
ARM,1996,3.03661346435547
ARM,1997,3.05200505256653
ARM,1998,3.06747436523438
ARM,1999,3.08302235603333
ARM,2000,3.09864902496338
ARM,2001,3.09845232963562
ARM,2002,3.09825563430786
ARM,2003,3.09805917739868
ARM,2004,3.09786248207092
ARM,2005,3.09766578674316
ARM,2006,3.10037350654602
ARM,2007,3.10308337211609
ARM,2008,3.10579562187195
ARM,2009,3.1085102558136
ARM,2010,3.11122751235962
ARM,2011,3.12573480606079
ARM,2012,3.14553189277649
ARM,2013,3.16545414924622
ARM,2014,3.18550252914429
ARM,2015,3.20567798614502
ARM,2016,3.23128962516785
ARM,2017,3.12573480606079
ARM,2018,3.13544416427612
ARM,2019,3.14518332481384
ARM,2020,3.15495300292969
ARM,2021,3.1577730178833
ARM,2022,3.16059851646423
ARM,2023,3.16343021392822
ATG,1950,
ATG,1951,
ATG,1952,
ATG,1953,
ATG,1954,
ATG,1955,
ATG,1956,
ATG,1957,
ATG,1958,
ATG,1959,
ATG,1960,
ATG,1961,
ATG,1962,
ATG,1963,
ATG,1964,
ATG,1965,
ATG,1966,
ATG,1967,
ATG,1968,
ATG,1969,
ATG,1970,
ATG,1971,
ATG,1972,
ATG,1973,
ATG,1974,
ATG,1975,
ATG,1976,
ATG,1977,
ATG,1978,
ATG,1979,
ATG,1980,
ATG,1981,
ATG,1982,
ATG,1983,
ATG,1984,
ATG,1985,
ATG,1986,
ATG,1987,
ATG,1988,
ATG,1989,
ATG,1990,
ATG,1991,
ATG,1992,
ATG,1993,
ATG,1994,
ATG,1995,
ATG,1996,
ATG,1997,
ATG,1998,
ATG,1999,
ATG,2000,
ATG,2001,
ATG,2002,
ATG,2003,
ATG,2004,
ATG,2005,
ATG,2006,
ATG,2007,
ATG,2008,
ATG,2009,
ATG,2010,
ATG,2011,
ATG,2012,
ATG,2013,
ATG,2014,
ATG,2015,
ATG,2016,
ATG,2017,
ATG,2018,
ATG,2019,
ATG,2020,
ATG,2021,
ATG,2022,
ATG,2023,
AUS,1950,2.66730189323425
AUS,1951,2.67434358596802
AUS,1952,2.68140339851379
AUS,1953,2.6884822845459
AUS,1954,2.69557976722717
AUS,1955,2.70269584655762
AUS,1956,2.71145153045654
AUS,1957,2.72023558616638
AUS,1958,2.72904777526855
AUS,1959,2.73788905143738
AUS,1960,2.74675846099854
AUS,1961,2.76815295219421
AUS,1962,2.78971362113953
AUS,1963,2.81144237518311
AUS,1964,2.83334064483643
AUS,1965,2.8554093837738
AUS,1966,2.87764978408813
AUS,1967,2.90006351470947
AUS,1968,2.92265176773071
AUS,1969,2.94541621208191
AUS,1970,2.96835780143738
AUS,1971,2.99199271202087
AUS,1972,3.01581621170044
AUS,1973,3.03982925415039
AUS,1974,3.06403350830078
AUS,1975,3.08843040466309
AUS,1976,3.11302161216736
AUS,1977,3.13780879974365
AUS,1978,3.16279315948486
AUS,1979,3.18797659873962
AUS,1980,3.21336030960083
AUS,1981,3.23260474205017
AUS,1982,3.25196480751038
AUS,1983,3.27144050598145
AUS,1984,3.29103326797485
AUS,1985,3.31074285507202
AUS,1986,3.33057069778442
AUS,1987,3.35051727294922
AUS,1988,3.37058329582214
AUS,1989,3.39076972007751
AUS,1990,3.41107678413391
AUS,1991,3.42362284660339
AUS,1992,3.43621516227722
AUS,1993,3.4488537311554
AUS,1994,3.46153879165649
AUS,1995,3.4742705821991
AUS,1996,3.48704934120178
AUS,1997,3.49987483024597
AUS,1998,3.5127477645874
AUS,1999,3.52566766738892
AUS,2000,3.53863549232483
AUS,2001,3.52751183509827
AUS,2002,3.51642346382141
AUS,2003,3.50536966323853
AUS,2004,3.49435067176819
AUS,2005,3.4833664894104
AUS,2006,3.472416639328
AUS,2007,3.46150135993958
AUS,2008,3.45062017440796
AUS,2009,3.43977355957031
AUS,2010,3.4289608001709
AUS,2011,3.44216704368591
AUS,2012,3.45542430877686
AUS,2013,3.4687328338623
AUS,2014,3.48209238052368
AUS,2015,3.49550342559814
AUS,2016,3.50896620750427
AUS,2017,3.52248072624207
AUS,2018,3.53604745864868
AUS,2019,3.54966616630554
AUS,2020,3.56333756446838
AUS,2021,3.5980269908905
AUS,2022,3.62050604820251
AUS,2023,3.60863065719605
AUT,1950,2.55264043807983
AUT,1951,2.53703594207764
AUT,1952,2.52152681350708
AUT,1953,2.50611257553101
AUT,1954,2.49079251289368
AUT,1955,2.47556614875793
AUT,1956,2.46107220649719
AUT,1957,2.44666337966919
AUT,1958,2.43233871459961
AUT,1959,2.41809797286987
AUT,1960,2.40394067764282
AUT,1961,2.42698168754578
AUT,1962,2.45024347305298
AUT,1963,2.47372841835022
AUT,1964,2.49743819236755
AUT,1965,2.52137541770935
AUT,1966,2.54554200172424
AUT,1967,2.56668210029602
AUT,1968,2.58321928977966
AUT,1969,2.59986281394959
AUT,1970,2.61661386489868
AUT,1971,2.63369941711426
AUT,1972,2.65089702606201
AUT,1973,2.66820645332336
AUT,1974,2.68562889099121
AUT,1975,2.70316529273987
AUT,1976,2.72081637382507
AUT,1977,2.73858237266541
AUT,1978,2.75646448135376
AUT,1979,2.77446341514587
AUT,1980,2.79257988929749
AUT,1981,2.80937480926514
AUT,1982,2.82627105712891
AUT,1983,2.84326887130737
AUT,1984,2.8603687286377
AUT,1985,2.87757158279419
AUT,1986,2.89487767219543
AUT,1987,2.91228818893433
AUT,1988,2.92980313301086
AUT,1989,2.94742369651794
AUT,1990,2.96514987945557
AUT,1991,2.97999858856201
AUT,1992,2.99492192268372
AUT,1993,3.0099196434021
AUT,1994,3.02499294281006
AUT,1995,3.04014134407043
AUT,1996,3.05536556243897
AUT,1997,3.07066631317139
AUT,1998,3.08604335784912
AUT,1999,3.10149765014648
AUT,2000,3.11702919006348
AUT,2001,3.13323092460632
AUT,2002,3.14951682090759
AUT,2003,3.16588711738586
AUT,2004,3.18234300613403
AUT,2005,3.19888401031494
AUT,2006,3.21551084518433
AUT,2007,3.23222470283508
AUT,2008,3.24902486801147
AUT,2009,3.26591277122498
AUT,2010,3.28288817405701
AUT,2011,3.29365229606628
AUT,2012,3.30445194244385
AUT,2013,3.31528687477112
AUT,2014,3.32615733146668
AUT,2015,3.33706331253052
AUT,2016,3.3480052947998
AUT,2017,3.35898303985596
AUT,2018,3.36999678611755
AUT,2019,3.38104629516602
AUT,2020,3.39213252067566
AUT,2021,3.41118836402893
AUT,2022,3.43048191070557
AUT,2023,3.45001626014709
AZE,1950,
AZE,1951,
AZE,1952,
AZE,1953,
AZE,1954,
AZE,1955,
AZE,1956,
AZE,1957,
AZE,1958,
AZE,1959,
AZE,1960,
AZE,1961,
AZE,1962,
AZE,1963,
AZE,1964,
AZE,1965,
AZE,1966,
AZE,1967,
AZE,1968,
AZE,1969,
AZE,1970,
AZE,1971,
AZE,1972,
AZE,1973,
AZE,1974,
AZE,1975,
AZE,1976,
AZE,1977,
AZE,1978,
AZE,1979,
AZE,1980,
AZE,1981,
AZE,1982,
AZE,1983,
AZE,1984,
AZE,1985,
AZE,1986,
AZE,1987,
AZE,1988,
AZE,1989,
AZE,1990,
AZE,1991,
AZE,1992,
AZE,1993,
AZE,1994,
AZE,1995,
AZE,1996,
AZE,1997,
AZE,1998,
AZE,1999,
AZE,2000,
AZE,2001,
AZE,2002,
AZE,2003,
AZE,2004,
AZE,2005,
AZE,2006,
AZE,2007,
AZE,2008,
AZE,2009,
AZE,2010,
AZE,2011,
AZE,2012,
AZE,2013,
AZE,2014,
AZE,2015,
AZE,2016,
AZE,2017,
AZE,2018,
AZE,2019,
AZE,2020,
AZE,2021,
AZE,2022,
AZE,2023,
BDI,1950,
BDI,1951,
BDI,1952,
BDI,1953,
BDI,1954,
BDI,1955,
BDI,1956,
BDI,1957,
BDI,1958,
BDI,1959,
BDI,1960,1.09549450874329
BDI,1961,1.09549450874329
BDI,1962,1.09549450874329
BDI,1963,1.09549450874329
BDI,1964,1.09549450874329
BDI,1965,1.09549450874329
BDI,1966,1.09549450874329
BDI,1967,1.09549450874329
BDI,1968,1.09549450874329
BDI,1969,1.09549450874329
BDI,1970,1.09549450874329
BDI,1971,1.09563422203064
BDI,1972,1.09577405452728
BDI,1973,1.09591376781464
BDI,1974,1.09605360031128
BDI,1975,1.09619343280792
