ISO3,year,v2x_libdem,v2cltort,v2clkill,v2x_accountability,v2x_clphy,v2x_rule,v2xcl_prpty
MEX,1789,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1790,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1791,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1792,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1793,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1794,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1795,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1796,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1797,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1798,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1799,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1800,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1801,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1802,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1803,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1804,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1805,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1806,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1807,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1808,0.044,-1.673,0.294,,0.314,0.272,0.241
MEX,1809,0.049,0.365,0.294,,0.582,0.272,0.241
MEX,1810,0.047,-0.316,0.294,,0.491,0.272,0.241
MEX,1811,0.047,-0.316,0.294,,0.491,0.272,0.241
MEX,1812,0.052,-0.316,0.294,,0.491,0.296,0.241
MEX,1813,0.05,-0.316,0.294,,0.491,0.296,0.241
MEX,1814,0.05,-0.316,0.294,,0.491,0.296,0.241
MEX,1815,0.05,-0.316,0.294,,0.491,0.296,0.241
MEX,1816,0.049,-0.902,0.294,,0.411,0.296,0.241
MEX,1817,0.049,-0.902,0.294,,0.411,0.296,0.241
MEX,1818,0.049,-0.902,0.294,,0.411,0.296,0.241
MEX,1819,0.049,-0.902,0.294,,0.411,0.296,0.241
MEX,1820,0.032,-1.279,0.294,,0.365,0.21,0.241
MEX,1821,0.037,-1.279,0.294,,0.365,0.169,0.323
MEX,1822,0.106,-1.279,0.294,,0.365,0.277,0.323
MEX,1823,0.12,-1.279,0.294,,0.365,0.277,0.323
MEX,1824,0.131,-1.279,0.294,,0.365,0.302,0.323
MEX,1825,0.137,-1.279,0.294,,0.365,0.302,0.323
MEX,1826,0.137,-1.279,0.294,,0.365,0.302,0.323
MEX,1827,0.137,-1.279,0.294,,0.365,0.302,0.323
MEX,1828,0.137,-1.279,0.294,,0.365,0.302,0.323
MEX,1829,0.137,-1.279,0.294,,0.365,0.302,0.323
MEX,1830,0.133,-1.279,0.294,,0.365,0.287,0.323
MEX,1831,0.125,-1.279,0.294,,0.365,0.287,0.323
MEX,1832,0.128,-1.279,0.294,,0.365,0.287,0.323
MEX,1833,0.133,-1.279,0.294,,0.365,0.287,0.323
MEX,1834,0.133,-1.279,0.294,,0.365,0.287,0.323
MEX,1835,0.133,-1.279,0.294,,0.365,0.287,0.323
MEX,1836,0.141,-1.279,0.294,,0.365,0.287,0.323
MEX,1837,0.136,-1.279,0.294,,0.365,0.287,0.323
MEX,1838,0.136,-1.279,0.294,,0.365,0.287,0.323
MEX,1839,0.136,-1.279,0.294,,0.365,0.287,0.323
MEX,1840,0.147,-1.279,0.294,,0.365,0.329,0.323
MEX,1841,0.121,-1.279,0.294,,0.365,0.272,0.323
MEX,1842,0.129,-1.279,0.294,,0.365,0.272,0.323
MEX,1843,0.157,-1.279,0.294,,0.365,0.329,0.323
MEX,1844,0.157,-1.279,0.294,,0.365,0.329,0.323
MEX,1845,0.157,-1.279,0.294,,0.365,0.329,0.323
MEX,1846,0.129,-1.279,0.294,,0.365,0.278,0.323
MEX,1847,0.136,-1.279,0.294,,0.365,0.278,0.323
MEX,1848,0.14,-1.279,0.294,,0.365,0.278,0.323
MEX,1849,0.14,-1.279,0.294,,0.365,0.278,0.323
MEX,1850,0.121,-1.279,0.294,,0.365,0.125,0.323
MEX,1851,0.121,-1.279,0.294,,0.365,0.125,0.323
MEX,1852,0.121,-1.279,0.294,,0.365,0.125,0.323
MEX,1853,0.121,-1.279,0.294,,0.365,0.125,0.323
MEX,1854,0.14,-1.279,0.294,,0.365,0.272,0.323
MEX,1855,0.14,-1.279,0.294,,0.365,0.272,0.323
MEX,1856,0.142,-1.279,0.294,,0.365,0.265,0.323
MEX,1857,0.135,-1.279,0.294,,0.365,0.287,0.323
MEX,1858,0.11,-1.279,-1.599,,0.158,0.287,0.323
MEX,1859,0.108,-1.279,-1.599,,0.158,0.287,0.323
MEX,1860,0.112,-1.279,-0.786,,0.245,0.287,0.323
MEX,1861,0.113,-1.279,-0.786,,0.245,0.287,0.323
MEX,1862,0.113,-1.279,-0.786,,0.245,0.287,0.323
MEX,1863,0.113,-1.279,-0.786,,0.245,0.287,0.323
MEX,1864,0.113,-1.279,-0.786,,0.245,0.287,0.323
MEX,1865,0.058,-1.279,-0.786,,0.245,0.273,0.323
MEX,1866,0.058,-1.279,-0.786,,0.245,0.273,0.323
MEX,1867,0.107,-1.279,-0.786,,0.245,0.273,0.323
