year,gdp_per_capita_constant,gdp_per_capita_current,gdp_deflator,gfkf_percent,gfkf_privat,natural_resources_rents,population_share_largest_city,population_total,fdi_inflow_percent,fdi_inflow_abs,fdi_outflow_percent,fdi_outflow_abs,trade_share,tax_as_perc_of_revenue,tax_of_gdp,mobile_phone_subs,telephone_subs,prim_netenrol,lowsec_netenrol,upsec_netenrol,cc,ge,pv,rl,rq,va,ISO3
1960,,,,,,,38.8828630449831,9035043.0,,,,,,,,0.0,0.089301599,,,,,,,,,,AFG
1961,,,,,,,38.8550678892247,9214083.0,,,,,,,,,0.0855843,,,,,,,,,,AFG
1962,,,,,,,38.8103433038082,9404406.0,,,,,,,,,0.0855843,,,,,,,,,,AFG
1963,,,,,,,38.7505661304388,9604487.0,,,,,,,,,0.0855843,,,,,,,,,,AFG
1964,,,,,,,38.6746624899418,9814318.0,,,,,,,,,0.0855843,,,,,,,,,,AFG
1965,,,,,,,38.5635833979878,10036008.0,,,,,,,,0.0,0.097227988,,,,,,,,,,AFG
1966,,,,,,,38.4356152557609,10266395.0,,,,,,,,,0.093408,,,,,,,,,,AFG
1967,,,,,,,38.2289350078034,10505959.0,,,,,,,,,0.093408,,,,,,,,,,AFG
1968,,,,,,,37.9376737521067,10756922.0,,,,,,,,,0.093408,,,,,,,,,,AFG
1969,,,,,,,37.6165411206187,11017409.0,,,,,,,,,0.093408,,,,,,,,,,AFG
1970,,,,,,0.87755385017819,37.2196347374108,11290128.0,,230000.0,,,,,,0.0,0.148796072,,,23.13762,,,,,,,AFG
1971,,,,,,1.03558414364505,36.7030310754894,11567667.0,,450000.0,,,,,,,0.143194,,,22.52125,,,,,,,AFG
1972,,,,,,1.19519644814167,36.6600654113877,11853696.0,,150000.0,,,,,,,0.143194,,,21.7014,,,,,,,AFG
1973,,,,,,1.67416815724967,37.1445365560291,12157999.0,,270000.0,,,,,,,0.143194,,,20.51185,,,,,,,AFG
1974,,,,,,2.12531920804593,37.6701853041339,12469127.0,,,,,,,,,0.143194,26.82221,79.8917083740234,21.96758,,,,,,,AFG
1975,,,,,,2.66673063889727,38.3299006697247,12773954.0,,,,,,,,0.0,0.176847227,,,,,,,,,,AFG
1976,,,,,,2.82487629325903,39.2188352936003,13059851.0,,40000.0,,,,,,0.0,0.178668178,,,29.27404,,,,,,,AFG
1977,,,,,,2.68324458039298,40.3349131442984,13340756.0,,-240000.0,,,,,,0.0,0.1749781,,,,,,,,,,AFG
1978,,,,,,2.24487152496304,41.7649471923722,13611441.0,,,,,,,,0.0,0.195534971,,,,,,,,,,AFG
1979,,,,,,2.44138287465658,44.2289994933807,13655567.0,,1200000.0,,0.0,,,,0.0,0.194819661,,,,,,,,,,AFG
1980,,,,,,2.56041191798785,47.3504174172429,13169311.0,,9000000.0,,0.0,,,,0.0,0.206620969,,,,,,,,,,AFG
1981,,,,,,1.99698226813113,54.0071655665138,11937581.0,,180000.0,,0.0,,,,0.0,0.284172531,,,,,,,,,,AFG
