country,from_1993Q1,from_2000Q1,from_2003Q1,from_2005Q1,from_2010Q1,from_2015Q1,from_2016Q1,ISO3,income_group,region
"Afghanistan, Islamic Republic of",False,False,False,False,True,True,True,AFG,Low income,South Asia
Albania,False,True,True,True,True,True,True,ALB,Upper middle income,Europe & Central Asia
Algeria,False,False,False,False,False,True,True,DZA,Upper middle income,Middle East & North Africa
Angola,False,False,False,False,False,True,True,AGO,Lower middle income,Sub-Saharan Africa
Argentina,True,True,True,True,True,True,True,ARG,Upper middle income,Latin America & Caribbean
"Armenia, Republic of",True,True,True,True,True,True,True,ARM,Upper middle income,Europe & Central Asia
"Aruba, Kingdom of the Netherlands",True,True,True,True,True,True,True,ABW,High income,Latin America & Caribbean
Australia,True,True,True,True,True,True,True,AUS,High income,East Asia & Pacific
Austria,False,False,False,True,True,True,True,AUT,High income,Europe & Central Asia
"Azerbaijan, Republic of",False,True,True,True,True,True,True,AZE,Upper middle income,Europe & Central Asia
"Bahamas, The",True,True,True,True,True,True,True,BHS,High income,Latin America & Caribbean
"Bahrain, Kingdom of",False,False,False,False,False,False,False,BHR,High income,Middle East & North Africa
Bangladesh,True,True,True,True,True,True,True,BGD,Lower middle income,South Asia
"Belarus, Republic of",False,True,True,True,True,True,True,BLR,Upper middle income,Europe & Central Asia
Belgium,False,False,True,True,True,True,True,BEL,High income,Europe & Central Asia
Belize,False,False,True,True,True,True,True,BLZ,Upper middle income,Latin America & Caribbean
Bermuda,False,False,False,False,True,True,True,BMU,High income,North America
Bhutan,False,False,False,False,True,True,True,BTN,Lower middle income,South Asia
Bolivia,True,True,True,True,True,True,True,BOL,Lower middle income,Latin America & Caribbean
Bosnia and Herzegovina,False,False,True,True,True,True,True,BIH,Upper middle income,Europe & Central Asia
Botswana,False,False,False,False,False,False,False,BWA,Upper middle income,Sub-Saharan Africa
Brazil,True,True,True,True,True,True,True,BRA,Upper middle income,Latin America & Caribbean
Brunei Darussalam,False,False,True,True,True,True,True,BRN,High income,East Asia & Pacific
Bulgaria,True,True,True,True,True,True,True,BGR,High income,Europe & Central Asia
Burundi,False,False,False,False,False,True,True,BDI,Low income,Sub-Saharan Africa
Cabo Verde,False,True,True,True,True,True,True,CPV,Lower middle income,Sub-Saharan Africa
Cambodia,False,True,True,True,True,True,True,KHM,Lower middle income,East Asia & Pacific
Cameroon,False,False,False,False,False,False,True,CMR,Lower middle income,Sub-Saharan Africa
Canada,True,True,True,True,True,True,True,CAN,High income,North America
Chile,True,True,True,True,True,True,True,CHL,High income,Latin America & Caribbean
"China, People's Republic of",False,False,False,True,True,True,True,CHN,Upper middle income,East Asia & Pacific
Colombia,False,True,True,True,True,True,True,COL,Upper middle income,Latin America & Caribbean
"Congo, Democratic Republic of the",False,False,False,False,False,False,False,COD,Low income,Sub-Saharan Africa
Costa Rica,False,True,True,True,True,True,True,CRI,Upper middle income,Latin America & Caribbean
"Croatia, Republic of",True,True,True,True,True,True,True,HRV,High income,Europe & Central Asia
Curaçao and Sint Maarten,False,False,False,False,False,True,True,,,
"Curaçao, Kingdom of the Netherlands",False,False,False,False,False,True,True,,,
Cyprus,False,False,True,True,True,True,True,CYP,High income,Europe & Central Asia
