subsample,terrvar,ncty,nobs,jstat,jdf,jp,maxmod
all,x_raw,119,9340,18.23218879750257,8,.0195515279815459,.8523637276968282
inc_low,x_raw,40,2862,5.787563495111491,8,.6710140409569937,.9113180842314134
inc_mid,x_raw,40,2846,14.09704305310413,8,.0792708284896594,.9102399678994616
inc_high,x_raw,39,3632,17.51649000178585,8,.0251583977123206,.8478093463486339
terr_low,x_raw,40,2947,21.34260903238963,8,.0062909076925478,.9228095214718827
terr_mid,x_raw,40,3264,19.12763328838672,8,.0141917663686709,.8033139235039356
terr_high,x_raw,39,3129,11.01982134812058,8,.2005786214336688,.9109621812450818
longT,x_raw,81,7670,17.58795221994459,8,.0245369648382215,.8537387763359703
nonzero_terr,x_raw,113,9032,20.02433628435649,8,.0102443696206672,.8523045098547204
all,x_pm,119,9340,11.51246641432179,8,.1743175353101569,.8797254151510441
inc_low,x_pm,40,2862,5.740949851230726,8,.6762232980003013,.9046994117366275
inc_mid,x_pm,40,2846,11.00823951491718,8,.201232773375814,.9254210507539841
inc_high,x_pm,39,3632,19.3933948498927,8,.0128916022644487,.8450643031148761
terr_low,x_pm,40,2947,4.402534433220012,8,.819103180532204,.8539066423935744
terr_mid,x_pm,40,3264,11.60957709958826,8,.1694919888134521,.8409318637280805
terr_high,x_pm,39,3129,10.31792859195505,8,.2434166980925999,.9118667293017058
longT,x_pm,81,7670,11.87666344316015,8,.1567922759179493,.854722878535857
nonzero_terr,x_pm,113,9032,12.85268806427099,8,.1170196650126604,.8785734191207326
