ISO3,nq,maxrun,firsts,lasts
AFG,1972q4,51,2008q2,2020q4
AGO,1969q1,36,2012q1,2020q4
ALB,1986q1,104,1995q1,2020q4
ARG,1987q1,108,1994q1,2020q4
ARM,1987q1,108,1994q1,2020q4
AUS,1987q1,108,1994q1,2020q4
AUT,1976q1,64,2005q1,2020q4
AZE,1982q1,88,1999q1,2020q4
BDI,1967q1,28,2014q1,2020q4
BGD,1987q1,108,1994q1,2020q4
BGR,1987q1,108,1994q1,2020q4
BHS,1987q1,108,1994q1,2020q4
BIH,1980q1,80,2001q1,2020q4
BLR,1985q1,100,1996q1,2020q4
BLZ,1980q1,80,2001q1,2020q4
BOL,1987q1,108,1994q1,2020q4
BRA,1987q1,108,1994q1,2020q4
BTN,1974q3,58,2006q3,2020q4
CAN,1987q1,108,1994q1,2020q4
CHL,1987q1,108,1994q1,2020q4
CHN,1976q1,64,2005q1,2020q4
CMR,1965q1,20,2016q1,2020q4
COL,1985q1,100,1996q1,2020q4
CRI,1982q1,88,1999q1,2020q4
CZE,1987q1,108,1994q1,2020q4
DEU,1982q1,88,1999q1,2020q4
DNK,1987q1,108,1994q1,2020q4
DOM,1970q1,40,2011q1,2020q4
DZA,1967q1,28,2014q1,2020q4
ECU,1987q1,108,1994q1,2020q4
EGY,1970q1,40,2011q1,2020q4
ESP,1987q1,108,1994q1,2020q4
EST,1987q1,108,1994q1,2020q4
ETH,1979q1,72,1994q1,2020q4
FIN,1987q1,108,1994q1,2020q4
FJI,1981q1,84,2000q1,2020q4
FRA,1987q1,108,1994q1,2020q4
GBR,1987q1,108,1994q1,2020q4
GEO,1984q1,96,1997q1,2020q4
GHA,1970q1,40,2011q1,2020q4
GIN,1972q1,48,2009q1,2020q4
GMB,1974q1,56,2007q1,2020q4
GRC,1986q1,88,1994q1,2020q4
GTM,1987q1,108,1994q1,2020q4
GUY,1965q1,20,2016q1,2020q4
HND,1977q1,68,2004q1,2020q4
HRV,1987q1,108,1994q1,2020q4
HTI,1976q2,65,2004q4,2020q4
HUN,1987q1,108,1994q1,2020q4
IDN,1987q1,108,1994q1,2020q4
IND,1987q1,108,1994q1,2020q4
IRQ,1968q1,32,2013q1,2020q4
ISL,1987q1,108,1994q1,2020q4
ISR,1987q1,108,1994q1,2020q4
ITA,1987q1,108,1994q1,2020q4
JAM,1969q1,36,2012q1,2020q4
JOR,1987q1,108,1994q1,2020q4
JPN,1985q1,100,1996q1,2020q4
KAZ,1986q1,104,1995q1,2020q4
KGZ,1987q1,108,1994q1,2020q4
KHM,1987q1,108,1994q1,2020q4
KOR,1987q1,108,1994q1,2020q4
KWT,1966q1,24,2015q1,2020q4
LAO,1986q1,80,1994q1,2020q4
LBN,1979q1,76,2002q1,2020q4
LBR,1971q1,44,2010q1,2020q4
LKA,1987q1,108,1994q1,2020q4
LSO,1987q1,108,1994q1,2020q4
LTU,1985q1,100,1996q1,2020q4
LVA,1987q1,108,1994q1,2020q4
MAR,1978q1,72,2003q1,2020q4
MDA,1987q1,108,1994q1,2020q4
MDG,1978q1,72,2003q1,2020q4
MEX,1987q1,108,1994q1,2020q4
MKD,1985q1,100,1996q1,2020q4
MMR,1986q4,107,1994q1,2020q3
MNE,1974q1,56,2007q1,2020q4
MOZ,1976q1,64,2005q1,2020q4
MRT,1969q1,36,2012q1,2020q4
MYS,1982q1,88,1999q1,2020q4
NAM,1982q1,88,1999q1,2020q4
NGA,1968q1,28,1994q1,2020q4
NIC,1987q1,108,1994q1,2020q4
NOR,1987q1,108,1994q1,2020q4
NPL,1987q1,108,1994q1,2020q4
NZL,1980q4,83,2000q2,2020q4
PAK,1987q1,108,1994q1,2020q4
PAN,1983q1,92,1998q1,2020q4
PER,1987q1,108,1994q1,2020q4
PHL,1987q1,108,1994q1,2020q4
PNG,1987q1,108,1994q1,2020q4
POL,1981q1,84,2000q1,2020q4
PRT,1987q1,108,1994q1,2020q4
PRY,1981q1,84,2000q1,2020q4
PSE,1969q1,36,2012q1,2020q4
ROU,1987q1,108,1994q1,2020q4
RUS,1987q1,108,1994q1,2020q4
SAU,1975q1,60,2006q1,2020q4
SDN,1985q1,100,1996q1,2020q4
SLB,1975q1,60,2006q1,2020q4
SLV,1982q1,88,1999q1,2020q4
SRB,1974q1,56,2007q1,2020q4
SUR,1976q1,64,2005q1,2020q4
SVK,1987q1,108,1994q1,2020q4
SVN,1987q1,108,1994q1,2020q4
SWE,1987q1,108,1994q1,2020q4
SWZ,1970q1,40,2011q1,2020q4
THA,1987q1,108,1994q1,2020q4
TJK,1979q1,76,2002q1,2020q4
TLS,1972q1,48,2009q1,2020q4
TTO,1966q1,24,2015q1,2020q4
TUR,1987q1,108,1994q1,2020q4
TZA,1969q1,36,2012q1,2020q4
UGA,1980q3,82,2000q3,2020q4
UKR,1987q1,108,1994q1,2020q4
URY,1981q1,84,2000q1,2020q4
USA,1987q1,108,1994q1,2020q4
UZB,1976q1,64,2005q1,2020q4
VUT,1987q1,108,1994q1,2020q4
XKX,1972q1,48,2009q1,2020q4
YEM,1972q1,48,2005q1,2016q4
ZAF,1987q1,108,1994q1,2020q4
ZMB,1976q1,64,2005q1,2020q4
