lags,instlag_max,tdopt,nobs,ncty,jstat,jdf,jp,maxmod,nparam,ninst
1,3,notd,9826,,365.190382970277,8,,.4427962469424546,5,9
2,4,notd,9703,,293.7262166412303,8,,.710905594959141,7,11
3,5,notd,9582,,183.8161436517903,8,,.8378787333974298,9,13
4,6,notd,9461,,42.89326933624753,8,,.9194781792005342,11,15
5,7,notd,9340,,30.61136644922306,8,,.9397733523080385,13,17
6,8,notd,9219,,55.62029739743418,8,,.9552847898879093,15,19
1,3,td,9826,,297.9396360759577,8,,.2708843898041107,2,6
2,4,td,9703,,251.931053678589,8,,.5857731969057546,4,8
3,5,td,9582,,167.3284797057638,8,,.7308743485151031,6,10
4,6,td,9461,,36.17305075354886,8,,.844762474886796,8,12
5,7,td,9340,,18.24585480726303,8,,.8522911306676484,10,14
6,8,td,9219,,46.37060773043071,8,,.8824486705634498,12,16
